symbol,name,bucket,theme,role,candidate_status,first_date,last_date,history_years,rows,avg_amount_60d,latest_amount,missing_close_count_long,screening_reason
159915,创业板ETF易方达,benchmark,创业板,benchmark,selected,2015-01-05,2026-06-18,11.45,2782,4968377672.41,4493982913.52,0,作为宽基基准/对照组，不参与行业主题排名时可单独处理
510300,沪深300ETF华泰柏瑞,benchmark,沪深300,benchmark,selected,2015-01-05,2026-06-18,11.45,2783,4331863637.15,6434057084.0,0,作为宽基基准/对照组，不参与行业主题排名时可单独处理
511010,国债ETF国泰,defensive,国债,defensive_asset,selected,2015-01-05,2026-06-18,11.45,2783,599162550.45,629649442.0,0,作为防御资产/避险腿，可用于股债切换或空仓替代
511260,十年国债ETF国泰,defensive,十年国债,defensive_asset,selected,2017-08-24,2026-06-18,8.82,2137,4313584682.43,6216893493.0,0,作为防御资产/避险腿，可用于股债切换或空仓替代
159928,消费ETF汇添富,sector,消费,sector_rotation,selected,2015-01-05,2026-06-18,11.45,2783,356081576.31,319771120.52,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
512010,医药ETF易方达,sector,医药,sector_rotation,selected,2015-01-05,2026-06-18,11.45,2781,497104233.32,503509543.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
512170,医疗ETF华宝,sector,医疗,sector_rotation,selected,2019-06-17,2026-06-18,7.0,1699,582249276.2,518857987.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
512400,有色金属ETF南方,sector,有色金属,sector_rotation,selected,2017-09-01,2026-06-18,8.79,2132,1204817893.37,1817536169.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
512480,半导体ETF国联安,sector,半导体,sector_rotation,selected,2019-06-12,2026-06-18,7.02,1702,1667045213.0,1919891758.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
512660,军工ETF国泰,sector,军工,sector_rotation,selected,2016-08-08,2026-06-18,9.86,2393,387937819.73,338873441.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
512690,酒ETF鹏华,sector,白酒/酒,sector_rotation,selected,2019-05-06,2026-06-18,7.12,1728,704040090.27,915919913.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
512800,银行ETF华宝,sector,银行,sector_rotation,selected,2017-08-03,2026-06-18,8.87,2153,751748705.65,1397825407.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
512880,证券ETF国泰,sector,证券,sector_rotation,selected,2016-08-08,2026-06-18,9.86,2393,1987147218.18,2679254414.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
512980,传媒ETF广发,sector,传媒,sector_rotation,selected,2018-01-19,2026-06-18,8.41,2038,258705626.9,202778007.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
515030,新能源车ETF华夏,sector,新能源车,sector_rotation,selected,2020-03-04,2026-06-18,6.29,1526,324968201.52,187899225.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
515220,煤炭ETF国泰,sector,煤炭,sector_rotation,selected,2020-03-02,2026-06-18,6.29,1528,911907524.08,898914080.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
515230,软件ETF国泰,sector,软件,sector_rotation,selected,2021-03-02,2026-06-18,5.3,1285,194351901.6,164205475.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
515790,光伏ETF华泰柏瑞,sector,光伏,sector_rotation,selected,2020-12-18,2026-06-18,5.5,1331,480667724.2,265221203.0,0,行业/主题 ETF，历史长度与近期流动性满足动量候选池要求
