symbol,missing_count,total_dates,missing_ratio,first_valid_date,last_valid_date
515230,1498,2783,0.5382680560546174,2021-03-02,2026-06-18
515790,1452,2783,0.5217391304347826,2020-12-18,2026-06-18
515030,1257,2783,0.4516708587854833,2020-03-04,2026-06-18
515220,1255,2783,0.4509522098454905,2020-03-02,2026-06-18
512170,1084,2783,0.3895077254761049,2019-06-17,2026-06-18
512480,1081,2783,0.3884297520661157,2019-06-12,2026-06-18
512690,1055,2783,0.37908731584620914,2019-05-06,2026-06-18
512980,745,2783,0.26769673014732304,2018-01-19,2026-06-18
512400,651,2783,0.2339202299676608,2017-09-01,2026-06-18
511260,646,2783,0.23212360761767875,2017-08-24,2026-06-18
512800,630,2783,0.22637441609773626,2017-08-03,2026-06-18
512660,390,2783,0.14013654329859865,2016-08-08,2026-06-18
512880,390,2783,0.14013654329859865,2016-08-08,2026-06-18
512010,2,2783,0.0007186489399928135,2015-01-05,2026-06-18
159915,1,2783,0.00035932446999640676,2015-01-05,2026-06-18
159928,0,2783,0.0,2015-01-05,2026-06-18
510300,0,2783,0.0,2015-01-05,2026-06-18
511010,0,2783,0.0,2015-01-05,2026-06-18
