symbol,secid,name,bucket,theme,download_status,adjust,source,eastmoney_fqt,rows,start,end
512880,1.512880,证券ETF,sector,证券,ok,qfq,eastmoney_push2his,1,2393,2016-08-08,2026-06-18
512800,1.512800,银行ETF,sector,银行,ok,qfq,eastmoney_push2his,1,2153,2017-08-03,2026-06-18
512690,1.512690,酒ETF,sector,白酒/酒,ok,qfq,eastmoney_push2his,1,1728,2019-05-06,2026-06-18
512010,1.512010,医药ETF,sector,医药,ok,qfq,eastmoney_push2his,1,2781,2015-01-05,2026-06-18
512170,1.512170,医疗ETF,sector,医疗,ok,qfq,eastmoney_push2his,1,1699,2019-06-17,2026-06-18
512480,1.512480,半导体ETF,sector,半导体,ok,qfq,eastmoney_push2his,1,1702,2019-06-12,2026-06-18
515030,1.515030,新能源车ETF,sector,新能源车,ok,qfq,eastmoney_push2his,1,1526,2020-03-04,2026-06-18
515790,1.515790,光伏ETF,sector,光伏,ok,qfq,eastmoney_push2his,1,1331,2020-12-18,2026-06-18
512660,1.512660,军工ETF,sector,军工,ok,qfq,eastmoney_push2his,1,2393,2016-08-08,2026-06-18
512400,1.512400,有色金属ETF,sector,有色金属,ok,qfq,eastmoney_push2his,1,2132,2017-09-01,2026-06-18
515220,1.515220,煤炭ETF,sector,煤炭,ok,qfq,eastmoney_push2his,1,1528,2020-03-02,2026-06-18
512980,1.512980,传媒ETF,sector,传媒,ok,qfq,eastmoney_push2his,1,2038,2018-01-19,2026-06-18
515230,1.515230,软件ETF,sector,软件,ok,qfq,eastmoney_push2his,1,1285,2021-03-02,2026-06-18
159995,0.159995,芯片ETF,sector,芯片,failed,qfq,eastmoney_push2his,1,0,,
159819,0.159819,人工智能ETF,sector,人工智能,failed,qfq,eastmoney_push2his,1,0,,
159928,0.159928,消费ETF,sector,消费,ok,qfq,eastmoney_push2his,1,2783,2015-01-05,2026-06-18
159996,0.159996,家电ETF,sector,家电,failed,qfq,eastmoney_push2his,1,0,,
159865,0.159865,养殖ETF,sector,养殖,failed,qfq,eastmoney_push2his,1,0,,
159825,0.159825,农业ETF,sector,农业,failed,qfq,eastmoney_push2his,1,0,,
511010,1.511010,国债ETF,defensive,国债,ok,qfq,eastmoney_push2his,1,2783,2015-01-05,2026-06-18
511260,1.511260,十年国债ETF,defensive,十年国债,ok,qfq,eastmoney_push2his,1,2137,2017-08-24,2026-06-18
511880,1.511880,银华日利ETF,defensive,货币/现金,failed,qfq,eastmoney_push2his,1,0,,
518880,1.518880,黄金ETF,defensive,黄金,failed,qfq,eastmoney_push2his,1,0,,
510300,1.510300,沪深300ETF,benchmark,沪深300,ok,qfq,eastmoney_push2his,1,2783,2015-01-05,2026-06-18
510500,1.510500,中证500ETF,benchmark,中证500,failed,qfq,eastmoney_push2his,1,0,,
159915,0.159915,创业板ETF,benchmark,创业板,ok,qfq,eastmoney_push2his,1,2782,2015-01-05,2026-06-18
