date,symbol,name,open,close,high,low,volume,amount,amplitude_pct,pct_change,change,turnover_pct,source,adjust
2015-01-05,159915,创业板ETF易方达,1.424,1.424,1.432,1.393,2227002.0,314526592.0,2.73,-0.42,-0.006,2.12,eastmoney,qfq
2015-01-06,159915,创业板ETF易方达,1.422,1.502,1.506,1.409,5273028.0,774540224.0,6.81,5.48,0.078,5.01,eastmoney,qfq
2015-01-07,159915,创业板ETF易方达,1.5,1.474,1.504,1.47,5820003.0,864140816.0,2.26,-1.86,-0.028,5.53,eastmoney,qfq
2015-01-08,159915,创业板ETF易方达,1.467,1.493,1.518,1.467,3789821.0,566618992.0,3.46,1.29,0.019,3.6,eastmoney,qfq
2015-01-09,159915,创业板ETF易方达,1.485,1.503,1.536,1.48,3869420.0,586347360.0,3.75,0.67,0.01,3.68,eastmoney,qfq
2015-01-12,159915,创业板ETF易方达,1.495,1.54,1.542,1.475,3358343.0,512100752.0,4.46,2.46,0.037,3.19,eastmoney,qfq
2015-01-13,159915,创业板ETF易方达,1.538,1.551,1.562,1.526,2253852.0,348447040.0,2.34,0.71,0.011,2.14,eastmoney,qfq
2015-01-14,159915,创业板ETF易方达,1.546,1.536,1.554,1.526,1413702.0,218119605.0,1.81,-0.97,-0.015,1.34,eastmoney,qfq
2015-01-15,159915,创业板ETF易方达,1.534,1.534,1.558,1.526,1966261.0,303252256.0,2.08,-0.13,-0.002,1.87,eastmoney,qfq
2015-01-16,159915,创业板ETF易方达,1.528,1.592,1.596,1.528,2330181.0,364731840.0,4.43,3.78,0.058,2.21,eastmoney,qfq
2015-01-19,159915,创业板ETF易方达,1.576,1.579,1.637,1.548,7977037.0,1271212800.0,5.59,-0.82,-0.013,7.58,eastmoney,qfq
2015-01-20,159915,创业板ETF易方达,1.581,1.657,1.657,1.581,5223034.0,844511904.0,4.81,4.94,0.078,4.96,eastmoney,qfq
2015-01-21,159915,创业板ETF易方达,1.662,1.668,1.673,1.636,3539652.0,588016320.0,2.23,0.66,0.011,3.36,eastmoney,qfq
2015-01-22,159915,创业板ETF易方达,1.661,1.683,1.686,1.655,3227682.0,540329712.0,1.86,0.9,0.015,3.07,eastmoney,qfq
2015-01-23,159915,创业板ETF易方达,1.682,1.638,1.683,1.632,1632896.0,270164352.0,3.03,-2.67,-0.045,1.55,eastmoney,qfq
2015-01-26,159915,创业板ETF易方达,1.639,1.686,1.686,1.639,3345613.0,558198224.0,2.87,2.93,0.048,3.18,eastmoney,qfq
2015-01-27,159915,创业板ETF易方达,1.686,1.688,1.698,1.651,2664797.0,448471600.0,2.79,0.12,0.002,2.53,eastmoney,qfq
2015-01-28,159915,创业板ETF易方达,1.672,1.668,1.7,1.662,2591469.0,436384672.0,2.25,-1.18,-0.02,2.46,eastmoney,qfq
2015-01-29,159915,创业板ETF易方达,1.655,1.652,1.676,1.648,1348225.0,223815960.0,1.68,-0.96,-0.016,1.28,eastmoney,qfq
2015-01-30,159915,创业板ETF易方达,1.651,1.623,1.661,1.614,922306.0,151518131.0,2.85,-1.76,-0.029,0.88,eastmoney,qfq
