date,symbol,name,open,high,low,close,volume,amount
2023-01-02,159915,创业板ETF,2.152,2.245,2.13,2.221,2527879,5615661.66
2023-01-02,510300,沪深300ETF,3.9,3.914,3.853,3.867,1108127,4285066.53
2023-01-02,511010,国债ETF,110.03,110.19,109.676,109.836,1443705,158570124.79
2023-01-03,159915,创业板ETF,2.237,2.276,2.154,2.193,3430138,7521430.44
2023-01-03,510300,沪深300ETF,3.871,3.892,3.761,3.782,3701207,13998119.2
2023-01-03,511010,国债ETF,109.878,110.194,109.426,109.742,1217495,133610246.8
2023-01-04,159915,创业板ETF,2.201,2.239,2.113,2.151,589221,1267137.75
2023-01-04,510300,沪深300ETF,3.777,3.835,3.75,3.808,3008126,11454671.16
2023-01-04,511010,国债ETF,109.656,109.883,109.328,109.555,1854751,203196406.23
2023-01-05,159915,创业板ETF,2.141,2.148,2.128,2.135,1196896,2555663.07
2023-01-05,510300,沪深300ETF,3.809,3.881,3.768,3.84,2456365,9432207.56
2023-01-05,511010,国债ETF,109.601,109.851,109.36,109.611,2494940,273471887.12
2023-01-06,159915,创业板ETF,2.129,2.165,2.055,2.092,1768500,3699010.07
2023-01-06,510300,沪深300ETF,3.855,3.885,3.797,3.828,701871,2686435.84
2023-01-06,511010,国债ETF,109.594,109.728,109.333,109.467,2386600,261253078.04
2023-01-09,159915,创业板ETF,2.104,2.161,2.093,2.149,1455565,3128568.93
2023-01-09,510300,沪深300ETF,3.82,3.863,3.801,3.844,1081190,4155795.31
2023-01-09,511010,国债ETF,109.479,110.114,109.193,109.827,1547856,169996712.36
2023-01-10,159915,创业板ETF,2.133,2.216,2.101,2.184,1111905,2428307.51
2023-01-10,510300,沪深300ETF,3.826,3.946,3.798,3.917,3186121,12481406.55
2023-01-10,511010,国债ETF,109.791,110.092,109.302,109.602,2324873,254809640.9
2023-01-11,159915,创业板ETF,2.204,2.23,2.184,2.209,1575485,3480793.59
2023-01-11,510300,沪深300ETF,3.914,3.983,3.895,3.964,2322056,9204915.62
2023-01-11,511010,国债ETF,109.661,109.709,109.336,109.385,615977,67378488.0
2023-01-12,159915,创业板ETF,2.219,2.31,2.177,2.266,1479690,3353509.6
2023-01-12,510300,沪深300ETF,3.955,4.06,3.891,3.996,1238121,4947307.97
2023-01-12,511010,国债ETF,109.356,109.528,108.929,109.101,1512357,165000118.41
2023-01-13,159915,创业板ETF,2.266,2.283,2.226,2.242,1529155,3428648.15
2023-01-13,510300,沪深300ETF,3.995,4.055,3.968,4.027,1293224,5207668.47
2023-01-13,511010,国债ETF,109.096,109.497,108.792,109.193,1782343,194620021.97
2023-01-16,159915,创业板ETF,2.238,2.297,2.132,2.19,2200140,4818281.97
2023-01-16,510300,沪深300ETF,4.035,4.097,3.928,3.99,1284313,5123811.64
2023-01-16,511010,国债ETF,109.076,109.35,108.67,108.944,3025732,329634467.98
2023-01-17,159915,创业板ETF,2.203,2.241,2.166,2.204,969629,2136997.82
2023-01-17,510300,沪深300ETF,3.999,4.046,3.987,4.033,3377871,13622250.09
2023-01-17,511010,国债ETF,108.912,109.259,108.835,109.181,2348697,256432631.87
2023-01-18,159915,创业板ETF,2.186,2.298,2.105,2.216,976432,2164221.43
2023-01-18,510300,沪深300ETF,4.037,4.059,3.939,3.961,564477,2235914.09
2023-01-18,511010,国债ETF,109.196,109.307,108.903,109.013,4389832,478550924.08
2023-01-19,159915,创业板ETF,2.224,2.266,2.142,2.183,1854125,4047196.15
2023-01-19,510300,沪深300ETF,3.977,4.036,3.888,3.947,3987736,15740805.44
2023-01-19,511010,国债ETF,109.069,109.335,108.914,109.18,1044260,114012119.19
