date,open,high,low,close,volume,amount
2024-01-02,0.9972,1.0027,0.9951,0.9966,1094735,1090982
2024-01-03,0.9930,0.9987,0.9918,0.9942,1038505,1032436
2024-01-04,0.9909,0.9948,0.9780,0.9847,868091,854799
2024-01-05,0.9857,0.9932,0.9740,0.9789,1018174,996727
2024-01-08,0.9754,0.9979,0.9724,0.9909,879340,871345
2024-01-09,0.9894,0.9960,0.9804,0.9826,1119880,1100407
2024-01-10,0.9816,0.9914,0.9802,0.9867,832780,821682
2024-01-11,0.9881,0.9920,0.9774,0.9805,1122059,1100179
2024-01-12,0.9789,0.9866,0.9732,0.9802,934253,915738
2024-01-15,0.9804,0.9897,0.9744,0.9827,958365,941802
2024-01-16,0.9797,0.9987,0.9735,0.9948,883591,879022
2024-01-17,0.9912,1.0010,0.9849,0.9954,1115164,1109991
2024-01-18,0.9939,1.0110,0.9887,1.0051,1118942,1124679
2024-01-19,1.0079,1.0155,1.0005,1.0049,1165283,1170963
2024-01-22,1.0065,1.0121,0.9872,0.9951,1252058,1245902
2024-01-23,0.9942,0.9998,0.9896,0.9907,1053932,1044167
2024-01-24,0.9877,0.9891,0.9774,0.9836,871137,856880
2024-01-25,0.9828,0.9898,0.9769,0.9785,1047053,1024503
2024-01-26,0.9815,0.9881,0.9735,0.9804,953131,934456
2024-01-29,0.9793,0.9863,0.9717,0.9792,883006,864638
2024-01-30,0.9771,0.9797,0.9681,0.9724,1124017,1092963
2024-01-31,0.9685,0.9723,0.9641,0.9676,1111487,1075490
2024-02-01,0.9691,0.9834,0.9639,0.9789,1171910,1147194
2024-02-02,0.9820,0.9884,0.9623,0.9692,1238830,1200692
2024-02-05,0.9684,0.9701,0.9622,0.9675,834236,807112
2024-02-06,0.9652,0.9673,0.9550,0.9582,828916,794279
2024-02-07,0.9555,0.9572,0.9441,0.9475,814025,771279
2024-02-08,0.9484,0.9587,0.9457,0.9568,991064,948209
2024-02-09,0.9539,0.9610,0.9463,0.9544,1056294,1008132
2024-02-12,0.9512,0.9564,0.9480,0.9548,945616,902872
2024-02-13,0.9522,0.9642,0.9449,0.9631,1090541,1050297
2024-02-14,0.9634,0.9646,0.9512,0.9557,1338175,1278893
2024-02-15,0.9572,0.9675,0.9538,0.9648,891873,860477
2024-02-16,0.9650,0.9781,0.9619,0.9719,922672,896713
2024-02-19,0.9756,0.9867,0.9692,0.9799,1250083,1224968
2024-02-20,0.9778,0.9909,0.9744,0.9863,815939,804789
2024-02-21,0.9846,0.9874,0.9702,0.9759,1326083,1294189
2024-02-22,0.9794,0.9871,0.9680,0.9755,1000549,976029
2024-02-23,0.9734,0.9757,0.9674,0.9697,1143236,1108630
2024-02-26,0.9724,0.9841,0.9670,0.9798,1239804,1214787
2024-02-27,0.9811,0.9883,0.9646,0.9708,1212577,1177220
2024-02-28,0.9683,0.9774,0.9651,0.9711,1240452,1204611
2024-02-29,0.9703,0.9866,0.9629,0.9829,1198639,1178113
2024-03-01,0.9799,0.9820,0.9687,0.9759,1243576,1213578
2024-03-04,0.9784,0.9861,0.9629,0.9684,992724,961326
2024-03-05,0.9655,0.9704,0.9580,0.9693,1157321,1121802
2024-03-06,0.9727,0.9766,0.9628,0.9697,1254385,1216419
2024-03-07,0.9678,0.9708,0.9602,0.9628,1122540,1080798
2024-03-08,0.9622,0.9640,0.9500,0.9571,994581,951875
2024-03-11,0.9577,0.9647,0.9521,0.9559,1304746,1247218
2024-03-12,0.9562,0.9606,0.9547,0.9558,1042068,995962
2024-03-13,0.9520,0.9582,0.9462,0.9483,1060421,1005592
2024-03-14,0.9487,0.9564,0.9443,0.9532,1105493,1053790
2024-03-15,0.9502,0.9643,0.9476,0.9595,952304,913777
2024-03-18,0.9596,0.9704,0.9535,0.9656,1301868,1257112
2024-03-19,0.9665,0.9709,0.9597,0.9641,1181002,1138620
2024-03-20,0.9644,0.9686,0.9555,0.9628,1184569,1140524
2024-03-21,0.9662,0.9741,0.9615,0.9713,1318796,1280981
2024-03-22,0.9685,0.9809,0.9645,0.9791,839900,822311
2024-03-25,0.9757,0.9813,0.9665,0.9728,1293364,1258143
2024-03-26,0.9745,0.9799,0.9626,0.9645,1285558,1239928
2024-03-27,0.9623,0.9826,0.9587,0.9751,1067993,1041438
2024-03-28,0.9777,0.9885,0.9738,0.9864,1083582,1068851
2024-03-29,0.9840,0.9872,0.9765,0.9824,810715,796446
2024-04-01,0.9819,0.9846,0.9787,0.9835,1143159,1124271
2024-04-02,0.9800,0.9913,0.9737,0.9836,1334432,1312507
2024-04-03,0.9817,0.9830,0.9678,0.9740,948745,924119
2024-04-04,0.9734,0.9806,0.9587,0.9652,942234,909434
2024-04-05,0.9684,0.9733,0.9512,0.9569,849204,812581
2024-04-08,0.9583,0.9621,0.9451,0.9465,1316092,1245709
2024-04-09,0.9488,0.9509,0.9422,0.9494,836642,794296
2024-04-10,0.9490,0.9607,0.9444,0.9575,1309668,1253957
2024-04-11,0.9546,0.9591,0.9494,0.9519,860198,818853
2024-04-12,0.9485,0.9508,0.9410,0.9440,967752,913568
2024-04-15,0.9424,0.9540,0.9403,0.9497,990850,941012
2024-04-16,0.9478,0.9489,0.9328,0.9385,1103077,1035270
2024-04-17,0.9383,0.9454,0.9297,0.9313,1250406,1164561
2024-04-18,0.9313,0.9377,0.9262,0.9296,1078677,1002786
2024-04-19,0.9332,0.9368,0.9269,0.9336,1188698,1109824
2024-04-22,0.9329,0.9397,0.9316,0.9365,871400,816072
