代码,日期,收盘,开盘,最高,最低,成交量,成交额
801150,1999-12-30,1000.0,1000.0,1000.0,1000.0,0.19626287,2.279919357
801150,2000-01-04,1026.71,998.77,1034.87,985.3,0.4113853,4.7324812769
801150,2000-01-05,1029.57,1025.64,1055.21,1009.88,0.59482404,6.8472815049
801150,2000-01-06,1067.96,1028.38,1074.6,1013.8,0.81800415,9.6103412541
801150,2000-01-07,1108.28,1076.25,1120.62,1062.7,1.42516881,17.5406788236
801150,2000-01-10,1129.94,1117.18,1146.76,1091.84,1.38350198,17.7933175263
801150,2000-01-11,1086.76,1132.98,1144.69,1068.48,1.07770229,13.6876833446
801150,2000-01-12,1053.34,1079.3,1100.71,1040.23,0.74718257,8.9855924574
801150,2000-01-13,1048.31,1052.8,1069.57,1031.93,0.40974249,4.7042258581
801150,2000-01-14,1036.22,1048.79,1063.6,1024.3,0.50044744,4.9092419362
801150,2000-01-17,1057.05,1035.34,1066.98,1020.61,0.52824388,6.2393934105
801150,2000-01-18,1055.75,1059.23,1081.89,1039.0,0.59260364,6.9828163813
801150,2000-01-19,1071.83,1056.8,1085.29,1043.29,0.640343,7.273649485
801150,2000-01-20,1093.7,1071.82,1108.14,1061.15,0.89875421,11.6170523684
801150,2000-01-21,1088.86,1097.93,1123.3,1069.78,1.28555076,16.772296827599998
801150,2000-01-24,1113.7,1090.79,1130.96,1065.34,1.2131808,15.293363924000001
801150,2000-01-25,1109.4,1119.4,1149.55,1087.55,1.13319152,14.6411550118
801150,2000-01-26,1113.5,1111.27,1135.55,1090.68,1.02255036,11.8412066095
801150,2000-01-27,1134.28,1122.96,1158.06,1098.81,1.42387003,17.9185186881
801150,2000-01-28,1150.49,1145.65,1171.98,1118.32,1.64554442,20.0681420755
801150,2000-02-14,1252.47,1190.8,1255.94,1171.65,2.21838378,30.2055059185
801150,2000-02-15,1239.96,1278.85,1325.32,1213.11,2.84795739,40.593323547
801150,2000-02-16,1237.01,1242.69,1277.26,1187.03,2.74951688,37.4163947308
801150,2000-02-17,1177.34,1256.74,1303.21,1151.64,2.99683409,39.7714333265
801150,2000-02-18,1202.81,1164.6,1220.92,1129.53,1.75937114,23.3914240828
801150,2000-02-21,1213.84,1206.37,1251.39,1160.7,2.06457476,27.7757548974
801150,2000-02-22,1202.8,1219.8,1269.33,1176.21,1.89378837,26.6881106891
801150,2000-02-23,1183.53,1191.42,1228.23,1153.25,1.65113644,21.3296434749
801150,2000-02-24,1232.86,1184.36,1252.78,1173.54,2.08539557,27.1782811318
801150,2000-02-25,1245.31,1243.73,1283.89,1210.96,2.24151001,31.5245029666
801150,2000-02-28,1307.64,1256.49,1325.78,1243.81,2.56818987,36.32007047
801150,2000-02-29,1290.61,1321.62,1351.63,1251.08,2.54538166,35.6564736807
801150,2000-03-01,1273.97,1294.85,1318.85,1243.21,2.24431279,29.1601441818
801150,2000-03-02,1286.88,1269.67,1313.95,1243.6,2.1118783,24.400534001799997
801150,2000-03-03,1299.51,1296.79,1332.71,1268.31,2.44001276,27.615943716300002
801150,2000-03-06,1241.84,1309.49,1332.36,1232.56,2.18608521,25.9631844134
801150,2000-03-07,1263.4,1227.05,1276.18,1208.52,1.63569784,18.1185562446
801150,2000-03-08,1284.37,1266.16,1304.3,1241.85,1.4555659,17.354104862899998
801150,2000-03-09,1287.81,1286.37,1318.96,1259.44,1.70897568,20.5223271167
801150,2000-03-10,1262.49,1287.97,1313.38,1247.88,1.50396116,17.8492931127
801150,2000-03-13,1282.28,1258.33,1299.85,1241.99,1.2660709,14.279515679500001
