行业代码,行业名称,code6
801010.SI,农林牧渔,801010
801030.SI,基础化工,801030
801040.SI,钢铁,801040
801050.SI,有色金属,801050
801080.SI,电子,801080
801880.SI,汽车,801880
801110.SI,家用电器,801110
801120.SI,食品饮料,801120
801130.SI,纺织服饰,801130
801140.SI,轻工制造,801140
801150.SI,医药生物,801150
801160.SI,公用事业,801160
801170.SI,交通运输,801170
801180.SI,房地产,801180
801200.SI,商贸零售,801200
801210.SI,社会服务,801210
801780.SI,银行,801780
801790.SI,非银金融,801790
801230.SI,综合,801230
801710.SI,建筑材料,801710
801720.SI,建筑装饰,801720
801730.SI,电力设备,801730
801890.SI,机械设备,801890
801740.SI,国防军工,801740
801750.SI,计算机,801750
801760.SI,传媒,801760
801770.SI,通信,801770
801950.SI,煤炭,801950
801960.SI,石油石化,801960
801970.SI,环保,801970
801980.SI,美容护理,801980
