run_mode,lookback,rebalance_interval,status,strategy_return_pct,benchmark_return_pct,alpha,beta,sharpe,max_drawdown_pct,image_file
m3c_bias_trend,252,20,complete,53.01,47.47,0.02,0.45,0.20,34.86,m3c_bias_trend_lb252_f20.png
m3c_bias_trend,252,10,complete,50.06,47.47,0.02,0.37,0.19,21.81,m3c_bias_trend_lb252_f10.png
m3c_bias_trend,252,5,complete,40.15,47.47,0.01,0.36,0.11,19.33,m3c_bias_trend_lb252_f5.png
m3c_bias_trend,252,1,complete,77.05,47.47,0.05,0.37,0.37,19.50,m3c_bias_trend_lb252_f1.png
m3c_bias_trend,126,20,complete,-9.55,47.47,-0.07,0.53,-0.30,39.81,m3c_bias_trend_lb126_f20.png
m3c_bias_trend,126,10,complete,9.88,47.47,-0.04,0.42,-0.13,41.28,m3c_bias_trend_lb126_f10.png
m3c_bias_trend,126,5,complete,27.58,47.47,-0.01,0.37,0.01,38.03,Snipaste_2026-07-16_00-18-46.png
m3c_bias_trend,126,1,missing_config_mismatch,,,,,,,m3c_bias_trend_lb126_f1.png
m3c_bias_trend,63,20,complete,29.97,47.47,-0.01,0.40,0.03,33.15,m3c_bias_trend_lb63_f20.png
m3c_bias_trend,63,10,complete,6.03,47.47,-0.04,0.41,-0.17,42.84,m3c_bias_trend_lb63_f10.png
m3c_bias_trend,63,5,complete,14.69,47.47,-0.03,0.43,-0.09,36.07,m3c_bias_trend_lb63_f5.png
m3c_bias_trend,63,1,complete,19.81,47.47,-0.02,0.39,-0.05,40.65,m3c_bias_trend_lb63_f1.png
m3c_bias_trend,31,20,complete,3.65,47.47,-0.04,0.34,-0.22,41.56,m3c_bias_trend_lb31_f20.png
m3c_bias_trend,31,10,complete,-18.89,47.47,-0.09,0.42,-0.43,53.77,m3c_bias_trend_lb31_f10.png
m3c_bias_trend,31,5,complete,-35.65,47.47,-0.12,0.36,-0.67,48.15,m3c_bias_trend_lb31_f5.png
m3c_bias_trend,31,1,complete,-8.61,47.47,-0.06,0.30,-0.35,36.55,m3c_bias_trend_lb31_f1.png
m3c_bias_trend,14,20,complete,5.18,47.47,-0.05,0.55,-0.16,44.83,m3c_bias_trend_lb14_f20.png
m3c_bias_trend,14,10,complete,90.33,47.47,0.07,0.39,0.44,21.48,m3c_bias_trend_lb14_f10.png
m3c_bias_trend,14,5,complete,-18.42,47.47,-0.09,0.41,-0.42,45.92,m3c_bias_trend_lb14_f5.png
m3c_bias_trend,14,1,complete,-7.17,47.47,-0.06,0.34,-0.33,50.60,m3c_bias_trend_lb14_f1.png
