run_mode,lookback,rebalance_interval,status,strategy_return_pct,benchmark_return_pct,alpha,beta,sharpe,max_drawdown_pct,image_file
m3d_wls_slope,252,20,complete,72.70,47.47,0.04,0.48,0.28,43.70,m3d_wls_slope_lb252_f20.png
m3d_wls_slope,252,10,complete,84.26,47.47,0.06,0.49,0.33,43.74,m3d_wls_slope_lb252_f10.png
m3d_wls_slope,252,5,complete,85.97,47.47,0.06,0.51,0.34,43.71,m3d_wls_slope_lb252_f5.png
m3d_wls_slope,252,1,complete,76.95,47.47,0.05,0.51,0.29,43.70,m3d_wls_slope_lb252_f1.png
m3d_wls_slope,126,20,complete,23.17,47.47,-0.02,0.50,-0.02,43.70,m3d_wls_slope_lb126_f20.png
m3d_wls_slope,126,10,complete,107.98,47.47,0.08,0.46,0.48,34.70,m3d_wls_slope_lb126_f10.png
m3d_wls_slope,126,5,complete,106.54,47.47,0.08,0.47,0.47,34.68,m3d_wls_slope_lb126_f5.png
m3d_wls_slope,126,1,complete,96.32,47.47,0.07,0.47,0.42,34.67,m3d_wls_slope_lb126_f1.png
m3d_wls_slope,63,20,complete,4.86,47.47,-0.05,0.47,-0.17,41.80,m3d_wls_slope_lb63_f20.png
m3d_wls_slope,63,10,complete,2.28,47.47,-0.05,0.45,-0.19,38.22,m3d_wls_slope_lb63_f10.png
m3d_wls_slope,63,5,complete,-13.89,47.47,-0.08,0.44,-0.35,47.41,m3d_wls_slope_lb63_f5.png
m3d_wls_slope,63,1,complete,13.97,47.47,-0.03,0.42,-0.09,28.87,m3d_wls_slope_lb63_f1.png
m3d_wls_slope,31,20,complete,39.58,47.47,0.01,0.36,0.11,21.15,m3d_wls_slope_lb31_f20.png
m3d_wls_slope,31,10,complete,46.95,47.47,0.02,0.39,0.16,23.27,m3d_wls_slope_lb31_f10.png
m3d_wls_slope,31,5,complete,55.06,47.47,0.03,0.40,0.21,22.57,m3d_wls_slope_lb31_f5.png
m3d_wls_slope,31,1,complete,78.92,47.47,0.05,0.35,0.38,24.77,m3d_wls_slope_lb31_f1.png
m3d_wls_slope,14,20,complete,43.38,47.47,0.01,0.37,0.14,36.20,m3d_wls_slope_lb14_f20.png
m3d_wls_slope,14,10,complete,38.85,47.47,0.01,0.36,0.10,39.55,m3d_wls_slope_lb14_f10.png
m3d_wls_slope,14,5,complete,6.48,47.47,-0.04,0.41,-0.16,38.95,m3d_wls_slope_lb14_f5.png
m3d_wls_slope,14,1,complete,38.48,47.47,0.01,0.28,0.11,28.18,m3d_wls_slope_lb14_f1.png
