run_mode,lookback,rebalance_interval,status,strategy_return_pct,benchmark_return_pct,alpha,beta,sharpe,max_drawdown_pct,image_file
m3e_huber_slope,252,20,complete,75.95,47.47,0.05,0.50,0.29,43.70,m3e_huber_slope_lb252_f20.png
m3e_huber_slope,252,10,complete,83.56,47.47,0.05,0.51,0.33,43.74,m3e_huber_slope_lb252_f10.png
m3e_huber_slope,252,5,complete,77.94,47.47,0.05,0.52,0.29,43.71,m3e_huber_slope_lb252_f5.png
m3e_huber_slope,252,1,complete,70.78,47.47,0.04,0.53,0.26,43.70,m3e_huber_slope_lb252_f1.png
m3e_huber_slope,126,20,complete,10.93,47.47,-0.04,0.54,-0.11,45.42,m3e_huber_slope_lb126_f20.png
m3e_huber_slope,126,10,complete,22.60,47.47,-0.02,0.55,-0.02,43.74,m3e_huber_slope_lb126_f10.png
m3e_huber_slope,126,5,complete,63.07,47.47,0.03,0.50,0.24,34.68,m3e_huber_slope_lb126_f5.png
m3e_huber_slope,126,1,invalid_attachment,,,,,,,m3e_huber_slope_lb126_f1_invalid.png
m3e_huber_slope,63,20,complete,6.02,47.47,-0.04,0.47,-0.16,39.31,m3e_huber_slope_lb63_f20.png
m3e_huber_slope,63,10,complete,11.80,47.47,-0.03,0.46,-0.11,36.45,m3e_huber_slope_lb63_f10.png
m3e_huber_slope,63,5,complete,4.94,47.47,-0.04,0.45,-0.17,45.74,m3e_huber_slope_lb63_f5.png
m3e_huber_slope,63,1,complete,-0.93,47.47,-0.05,0.45,-0.22,46.27,m3e_huber_slope_lb63_f1.png
m3e_huber_slope,31,20,complete,74.35,47.47,0.05,0.37,0.35,21.15,m3e_huber_slope_lb31_f20.png
m3e_huber_slope,31,10,complete,56.27,47.47,0.03,0.40,0.23,23.27,m3e_huber_slope_lb31_f10.png
m3e_huber_slope,31,5,complete,90.62,47.47,0.06,0.41,0.42,21.13,m3e_huber_slope_lb31_f5.png
m3e_huber_slope,31,1,complete,75.20,47.47,0.05,0.38,0.34,20.83,m3e_huber_slope_lb31_f1.png
m3e_huber_slope,14,20,complete,27.70,47.47,-0.01,0.37,0.02,37.33,m3e_huber_slope_lb14_f20.png
m3e_huber_slope,14,10,complete,-7.09,47.47,-0.06,0.43,-0.29,54.02,m3e_huber_slope_lb14_f10.png
m3e_huber_slope,14,5,complete,-2.78,47.47,-0.06,0.42,-0.25,39.62,m3e_huber_slope_lb14_f5.png
m3e_huber_slope,14,1,complete,65.96,47.47,0.04,0.29,0.32,24.76,m3e_huber_slope_lb14_f1.png
