run_mode,lookback,rebalance_interval,status,strategy_return_pct,benchmark_return_pct,alpha,beta,sharpe,max_drawdown_pct,image_file
m3f_equal_rank,252,20,complete,69.57,47.47,0.04,0.48,0.27,43.70,m3f_equal_rank_lb252_f20.png
m3f_equal_rank,252,10,complete,29.24,47.47,-0.01,0.52,0.02,45.73,m3f_equal_rank_lb252_f10.png
m3f_equal_rank,252,5,complete,21.55,47.47,-0.02,0.55,-0.03,45.24,m3f_equal_rank_lb252_f5.png
m3f_equal_rank,252,1,complete,3.85,47.47,-0.05,0.54,-0.16,47.42,m3f_equal_rank_lb252_f1.png
m3f_equal_rank,126,20,complete,26.71,47.47,-0.01,0.44,0.01,34.67,m3f_equal_rank_lb126_f20.png
m3f_equal_rank,126,10,complete,-4.42,47.47,-0.06,0.50,-0.24,47.83,m3f_equal_rank_lb126_f10.png
m3f_equal_rank,126,5,complete,7.42,47.47,-0.04,0.35,-0.16,38.06,m3f_equal_rank_lb126_f5.png
m3f_equal_rank,126,1,complete,-25.22,47.47,-0.10,0.34,-0.53,53.66,m3f_equal_rank_lb126_f1.png
m3f_equal_rank,63,20,complete,0.72,47.47,-0.05,0.33,-0.24,37.92,m3f_equal_rank_lb63_f20.png
m3f_equal_rank,63,10,complete,78.92,47.47,0.06,0.31,0.41,17.63,m3f_equal_rank_lb63_f10.png
m3f_equal_rank,63,5,complete,81.61,47.47,0.06,0.30,0.42,23.28,m3f_equal_rank_lb63_f5.png
m3f_equal_rank,63,1,complete,70.68,47.47,0.05,0.30,0.35,22.47,m3f_equal_rank_lb63_f1.png
m3f_equal_rank,31,20,complete,60.67,47.47,0.04,0.24,0.31,21.90,m3f_equal_rank_lb31_f20.png
m3f_equal_rank,31,10,complete,81.79,47.47,0.06,0.36,0.41,20.41,m3f_equal_rank_lb31_f10.png
m3f_equal_rank,31,5,complete,39.20,47.47,0.01,0.37,0.11,22.41,m3f_equal_rank_lb31_f5.png
m3f_equal_rank,31,1,complete,61.30,47.47,0.04,0.30,0.30,19.63,m3f_equal_rank_lb31_f1.png
m3f_equal_rank,14,20,complete,-1.10,47.47,-0.06,0.49,-0.22,47.76,m3f_equal_rank_lb14_f20.png
m3f_equal_rank,14,10,complete,58.88,47.47,0.03,0.28,0.28,26.50,m3f_equal_rank_lb14_f10.png
m3f_equal_rank,14,5,complete,13.46,47.47,-0.03,0.37,-0.10,36.89,m3f_equal_rank_lb14_f5.png
m3f_equal_rank,14,1,complete,-6.00,47.47,-0.06,0.27,-0.33,38.39,m3f_equal_rank_lb14_f1.png
