run_mode,lookback,rebalance_interval,status,strategy_return_pct,benchmark_return_pct,alpha,beta,sharpe,max_drawdown_pct,image_file
m3g_efficiency_rank,252,20,not_provided_poor_result,,,,,,,
m3g_efficiency_rank,252,10,not_provided_poor_result,,,,,,,
m3g_efficiency_rank,252,5,not_provided_poor_result,,,,,,,
m3g_efficiency_rank,252,1,not_provided_poor_result,,,,,,,
m3g_efficiency_rank,126,20,complete,33.73,47.47,0.00,0.37,0.06,34.67,m3g_efficiency_rank_lb126_f20.png
m3g_efficiency_rank,126,10,complete,2.41,47.47,-0.05,0.45,-0.19,46.44,m3g_efficiency_rank_lb126_f10.png
m3g_efficiency_rank,126,5,complete,-10.87,47.47,-0.07,0.36,-0.34,48.90,m3g_efficiency_rank_lb126_f5.png
m3g_efficiency_rank,126,1,complete,-34.83,47.47,-0.12,0.35,-0.65,61.03,m3g_efficiency_rank_lb126_f1.png
m3g_efficiency_rank,63,20,complete,20.75,47.47,-0.02,0.35,-0.04,36.86,m3g_efficiency_rank_lb63_f20.png
m3g_efficiency_rank,63,10,complete,31.54,47.47,-0.00,0.36,0.05,27.30,m3g_efficiency_rank_lb63_f10.png
m3g_efficiency_rank,63,5,not_provided_poor_result,,,,,,,
m3g_efficiency_rank,63,1,complete,27.99,47.47,-0.01,0.37,0.02,26.26,m3g_efficiency_rank_lb63_f1.png
m3g_efficiency_rank,31,20,complete,43.34,47.47,0.01,0.36,0.14,30.01,m3g_efficiency_rank_lb31_f20.png
m3g_efficiency_rank,31,10,complete,43.75,47.47,0.01,0.38,0.14,23.77,m3g_efficiency_rank_lb31_f10.png
m3g_efficiency_rank,31,5,complete,0.73,47.47,-0.05,0.39,-0.22,30.03,m3g_efficiency_rank_lb31_f5.png
m3g_efficiency_rank,31,1,complete,5.83,47.47,-0.04,0.34,-0.18,30.00,m3g_efficiency_rank_lb31_f1.png
m3g_efficiency_rank,14,20,complete,16.31,47.47,-0.03,0.50,-0.07,49.88,m3g_efficiency_rank_lb14_f20.png
m3g_efficiency_rank,14,10,complete,41.14,47.47,0.01,0.33,0.13,29.93,m3g_efficiency_rank_lb14_f10.png
m3g_efficiency_rank,14,5,complete,-0.97,47.47,-0.05,0.38,-0.24,31.19,m3g_efficiency_rank_lb14_f5.png
m3g_efficiency_rank,14,1,complete,-3.92,47.47,-0.06,0.31,-0.29,38.52,m3g_efficiency_rank_lb14_f1.png
