run_mode,lookback,rebalance_interval,status,strategy_return_pct,benchmark_return_pct,alpha,beta,sharpe,max_drawdown_pct,cagr_pct,benchmark_cagr_pct,annualized_excess_pct,calmar,positive_annualized_excess,calmar_ge_0_3,step04_numeric_gate,image_file,source_note
momentum,252,20,complete,27.05,47.47,-0.02,0.67,0.01,43.7,4.070852368150701,6.688419150117952,-2.617566781967251,0.09315451643365448,False,False,False,codex-clipboard-46333042-d0da-4200-a0e9-99b1f9aa7ccc.png,早期截图OCR；参数由代码区或红色标注复核
momentum,252,10,complete,26.06,47.47,-0.02,0.67,0.0,43.74,3.9352544945252754,6.688419150117952,-2.753164655592677,0.0899692385579624,False,False,False,codex-clipboard-5ba8df97-dc92-4007-8dc5-4e29c6a1d791.png,早期截图OCR；参数由代码区或红色标注复核
momentum,252,5,complete,42.26,47.47,0.0,0.67,0.1,43.71,6.050763795736636,6.688419150117952,-0.6376553543813168,0.1384297368047732,False,False,False,codex-clipboard-904aba51-1395-42f7-b0b3-58ba96828caa.png,早期截图OCR；参数由代码区或红色标注复核
momentum,252,1,complete,24.91,47.47,-0.02,0.65,-0.01,43.7,3.7766231277828632,6.688419150117952,-2.911796022335089,0.08642158187146139,False,False,False,codex-clipboard-50666caa-800e-4563-a9a6-f5928d72820d.png,早期截图OCR；参数由代码区或红色标注复核
momentum,126,20,complete,17.6,47.47,-0.03,0.52,-0.06,43.7,2.7388153319287234,6.688419150117952,-3.949603818189229,0.0626731197237694,False,False,False,codex-clipboard-4b7994b8-d937-4e65-8904-c9e3a5439950.png,早期截图OCR；参数由代码区或红色标注复核
momentum,126,10,complete,26.85,47.47,-0.01,0.56,0.01,43.74,4.043530007086793,6.688419150117952,-2.6448891430311594,0.09244467323015072,False,False,False,codex-clipboard-7d998369-9151-44ac-a58c-4b063b603fa6.png,早期截图OCR；参数由代码区或红色标注复核
momentum,126,5,complete,12.44,47.47,-0.03,0.51,-0.1,50.57,1.9733780114163935,6.688419150117952,-4.715041138701559,0.03902270143200303,False,False,False,Snipaste_2026-07-16_00-14-45.png,补图替换原运行中截图
momentum,126,1,complete,-21.84,47.47,-0.1,0.53,-0.4,53.47,-4.02368045698609,6.688419150117952,-10.712099607104042,-0.0752511774263342,False,False,False,codex-clipboard-53343ddc-7aba-4cdc-acf2-050b2e85db31.png,早期截图OCR；参数由代码区或红色标注复核
momentum,63,20,complete,37.27,47.47,0.0,0.5,0.08,41.95,5.421519651526907,6.688419150117952,-1.2668994985910453,0.12923765557871053,False,False,False,codex-clipboard-f3c2bad4-d590-43ef-8439-77869a418466.png,早期截图OCR；参数由代码区或红色标注复核
momentum,63,10,complete,56.63,47.47,0.03,0.48,0.2,34.7,7.765353531571728,6.688419150117952,1.0769343814537757,0.2237854043680613,True,False,False,codex-clipboard-b9924b49-d7b3-4ff2-b0a3-6b4ef82fd77f.png,早期截图OCR；参数由代码区或红色标注复核
