"run_mode","lookback","rebalance_interval","status","strategy_return_pct","benchmark_return_pct","alpha","beta","sharpe","max_drawdown_pct","image_file","config_ocr","metric_ocr"
"momentum","14","5","complete","8.63","47.47","-0.04","0.43","-0.14","39.95","codex-clipboard-019170ab-6c8a-4675-8d63-7720ce47c195.png","IS-06-01 -12-01 IS-12-01 2016 16-12-01 145 2017 IS-06-01 2018 18-12-01 2019 19-06-01 19-12-01 2020 20-06-01 20-12-01","8.63% | 47.47% | Alpha -0.04 | Beta 0.43 | Sharpe -0.14 | 39.95%"
"m2_ranked_recent","252","5","complete","42.09","47.47","0.01","0.36","0.12","25.18","codex-clipboard-0274769d-7a79-4f74-bcca-f2ade1d9f4d7.png","from jqdata i mport i mport datetime i mport math ""m2-ranked-recent "" L(X)KBACK = 252 5 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=5 ;A F TNTERVAL 5","42.09% | 47.47% | Alpha 0.01 | Beta 0.36 | Sharpe 0.12 | 25.18% sssæ"
"m2_ranked_recent","126","5","complete","63.56","47.47","0.04","0.25","0.31","17.83","codex-clipboard-04b37002-9697-4475-9146-0735136bf659.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport RtJN---r•K)IE ""m2-ranked-recent "" L(X)KBACK = 126 5 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=5 ;A F TNTERVAL 5","2015-01-01 2020-12. 63.56% | 100000 47.47% | Python3 Alpha 0.04 | 0.+ | Sharpe 0.31 | 17.83%"
"m2_ranked_recent","14","10","complete","84.32","47.47","0.06","0.21","0.51","15.21","codex-clipboard-09a2d04d-5acd-4531-af69-9ac500a49fc7.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime i mport matp R 皿 艹 ""m2-ranked-recent"" L(X)KBACK REBALAXE-INTERVAL = 10 ENGINE-VERSION = "" ． 1 "" COtE-VERS 工 ON | lookback_line=)KBACK 14 )KBACK | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12. 84.32% | 100000 47.47% | Python3 Alpha 0.06 | Beta 0.21 | Sharpe 0.51 | 15.21% 100*"
"momentum","31","20","complete","64.77","47.47","0.04","0.41","0.28","21.9","codex-clipboard-0dacdd9c-5dee-4835-ae1e-59bb556d9c1d.png","IS-06-01 IS-12-01 2016 16-12-01 2017 17-06-01 17-12-01 '018 IS-06-01 18-12-01 2019 IS-06-01 19-12-01 2020 20-06-01 20-12-01 31 20 as","2015-01-01 2020-12-: 64.77% | 31 100000 47.47% 49 11. 2016 • 1.13% | Python3 Alpha 0.04 | Beta 0.41 | Sharpe 0.28 | 21.90%"
"m1_absolute","14","1","complete","-0.74","47.47","-0.05","0.37","-0.23","43.61","codex-clipboard-0e0c90d8-c91b-4c2c-804e-4a0512d5b97d.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport I i mport datetime i mport math RtJN---r•K)[E ""ml-absol ute"" L(X)KBACK REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 14 )KBACK | interval_line=1 ;A F TNTERVAL","2015-01-01 2020-12 -0.74% | 100000 47.470/0 | Python3 Alpha -0.05 | Beta 0.37 | Sharpe 023 | 43.61% so•i 409€"
"m2_recent_confirm","63","5","complete","39.85","47.47","0.01","0.25","0.13","18.12","codex-clipboard-10366f4f-cc36-469f-8c9e-06b7c6b73e55.png","from j qdata import import datetime import math •m2-recent-confi rm"" R 皿 艹 L(X)KBACK 一 63 5 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=KBACK 63 KBACK 63 | interval_line=ALANCE-INTERVAL 5 ALANCE-INTERVAL 5","39.85% | 47.47% | Alpha 0.01 | Beta 0.25 | Sharpe 0.13 | 18.12% 409€"
"m2_ranked_recent","63","10","complete","1.96","47.47","-0.04","0.23","-0.26","41.15","codex-clipboard-13d4911c-5460-41a2-8a30-a326281c5143.png","# M 3G uses RLJN-?• ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN---r•K)IE ""m2-ranked-recent "" L(X)KBACK 一 63 REBALAXF TNTERVAL = 10 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 63 )KBACK 63 | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12. 1.96% | 31 100000 47.47% | Python3 Alpha -0.04 | Beta 0.23 | Sharpe -0.26 | 41.150/0"
"m2_recent_confirm","126","5","complete","52.5","47.47","0.03","0.25","0.23","17.93","codex-clipboard-15ba703d-89b1-4d64-a9c8-6e25c4184a0b.png","from j qdata 讠 mport i mport datetime i mport math RtJN--.frK)[E 一 ""m2-r ecent-confi r m"" L(X)KBACK = 126 5 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COC)E-VERSION | lookback_line=(BACK 126 (BACK = 126 | interval_line=UNCE-INTERVAL 5 d-ANCE-INTERVAL 5","52.50% | 47.47% | Alpha 0.03 | Beta 0.25 | Sharpe 0.23 | 17.93% 4"
"momentum","31","10","complete","40.51","47.47","0.01","0.42","0.11","23.91","codex-clipboard-17e6add0-01bb-481b-8008-25e98fe6ef9b.png","15-12-01 2016 16-06-01 16-12-01 2017 17-06-01 17-12-01 2018 18-06-01 18-12-01 2019 19-06-01 19-12-01 2020 20-06-01 20-12-01 31 10","2015-01-01 2020-12-: 40.51% | 100000 47.47% 10. 20 • 5.5 | Python3 Alpha 0.01 16 | Beta 0.42 | Sharpe 0.11 | 23.91%"
