run_mode,rebalance_interval,complete_count,median_cagr_pct,median_calmar,positive_excess_count,step04_numeric_gate_count
momentum,20,5,4.070852368150701,0.09315451643365448,1,0
momentum,10,5,5.049621588755193,0.13980126214715374,1,0
momentum,5,5,3.755842448300739,0.10004907960310973,0,0
momentum,1,5,2.392278725667274,0.08306523353011366,1,1
m1_absolute,20,5,2.7388153319287234,0.0626731197237694,0,0
m1_absolute,10,5,5.049621588755193,0.13980126214715374,1,0
m1_absolute,5,5,3.755842448300739,0.10004907960310973,0,0
m1_absolute,1,5,-0.12371533987727279,-0.002836857140042944,1,1
m2_recent_confirm,20,5,6.613530480780749,0.3067890099984251,2,1
m2_recent_confirm,10,5,7.079109748484513,0.25418706457754087,3,2
m2_recent_confirm,5,5,5.749197043828969,0.31728460506782385,1,1
m2_recent_confirm,1,5,1.9975480504584864,0.06575207539363023,1,1
m2_ranked_recent,20,5,6.813451716582919,0.3201810017191221,3,1
m2_ranked_recent,10,5,10.021090864061621,0.4540593957436167,4,3
m2_ranked_recent,5,5,5.908648968857899,0.23946114301432672,1,1
m2_ranked_recent,1,5,3.5958284381193417,0.12078698146185225,1,1
m3_ols_slope,20,5,5.2725167323436795,0.14242346656790056,2,1
m3_ols_slope,10,5,5.307292667013064,0.13072072858240547,2,0
m3_ols_slope,5,5,7.986675483163852,0.029645198595943056,3,1
m3_ols_slope,1,5,9.537114307344986,0.29872039644060344,4,1
m3b_efficiency,20,0,,,0,0
m3b_efficiency,10,0,,,0,0
m3b_efficiency,5,0,,,0,0
m3b_efficiency,1,0,,,0,0
m3c_bias_trend,20,5,0.8452687618129451,0.018854980187663285,1,0
m3c_bias_trend,10,5,1.5827054318938272,0.03834073236176907,2,1
m3c_bias_trend,5,5,2.3106692284695196,0.06406069388604158,0,0
m3c_bias_trend,1,4,0.912881031112045,0.02543778052965382,1,1
m3d_wls_slope,20,5,5.715142367692749,0.1709796730475905,1,0
m3d_wls_slope,10,5,6.625627097843623,0.24515706454871675,2,0
m3d_wls_slope,5,5,7.584563777756137,0.24922832475792944,3,0
m3d_wls_slope,1,5,9.978661006305423,0.2283446454532133,3,1
m3e_huber_slope,20,5,4.159403203403711,0.11142253424601424,2,1
m3e_huber_slope,10,5,3.454267888357543,0.07897274550428768,2,0
m3e_huber_slope,5,5,8.491491194584523,0.23063313213983488,3,1
m3e_huber_slope,1,5,9.330038625230873,0.2779113964523729,4,1
m3f_equal_rank,20,5,4.024382986856856,0.11607680954303017,2,0
m3f_equal_rank,10,5,8.02183202121216,0.30271064230989286,3,2
m3f_equal_rank,5,5,3.3060668829717255,0.07307840148036528,1,1
m3f_equal_rank,1,5,0.6316090293912113,0.01331946498083533,2,2
m3g_efficiency_rank,20,4,4.077947334511045,0.11488634835141971,0,0
m3g_efficiency_rank,10,4,5.293075625926724,0.18437231519684052,0,0
m3g_efficiency_rank,5,3,-0.16232396948266947,-0.005204359393480906,0,0
m3g_efficiency_rank,1,4,0.14230178048773023,0.007192145801200993,0,0
