run_mode,mode_label,complete_count,missing_count,positive_excess_count,calmar_ge_0_3_count,median_calmar,best_calmar,best_to_median_calmar,windows_with_two_nonnegative_excess_frequencies,frequencies_with_three_nonnegative_excess_windows,step04_numeric_gate_count,preliminary_screenshot_gate,final_acceptance,final_acceptance_note
momentum,M0 相对动量,20,0,3,2,0.0927995948319026,0.41142502339267206,4.433478660525709,1,0,1,False,False,截图缺少标签精度、换手、成本、年度与资产归因，不能完成正式验收
m1_absolute,M1 绝对动量,20,0,2,1,0.09120695589405656,0.41142502339267206,4.510895242141091,1,0,1,False,False,截图缺少标签精度、换手、成本、年度与资产归因，不能完成正式验收
m2_recent_confirm,M2 近期确认,20,0,7,9,0.23787422144234355,0.59162291695074,2.48712497454937,2,1,5,False,False,截图缺少标签精度、换手、成本、年度与资产归因，不能完成正式验收
m2_ranked_recent,M2R 排名内近期确认,20,0,9,8,0.2550018391092215,0.7082438365917832,2.777406778970056,3,2,6,False,False,截图缺少标签精度、换手、成本、年度与资产归因，不能完成正式验收
m3_ols_slope,M3A OLS斜率质量,20,0,11,5,0.18419604585631902,0.47971126610019665,2.604351596528801,3,2,3,False,False,截图缺少标签精度、换手、成本、年度与资产归因，不能完成正式验收
m3b_efficiency,M3B 效率动量,0,20,0,0,,,,0,0,0,False,False,截图缺少标签精度、换手、成本、年度与资产归因，不能完成正式验收
m3c_bias_trend,M3C 乖离趋势,19,1,4,3,0.03834073236176907,0.5271372287518472,13.748752208955581,1,0,2,False,False,截图缺少标签精度、换手、成本、年度与资产归因，不能完成正式验收
m3d_wls_slope,M3D WLS斜率质量,20,0,9,5,0.22325634236873826,0.41105320143516494,1.8411714403000232,3,2,1,False,False,截图缺少标签精度、换手、成本、年度与资产归因，不能完成正式验收
m3e_huber_slope,M3E Huber斜率质量,20,0,11,5,0.21973532659102862,0.5372058508168024,2.444786003011022,3,2,3,False,False,截图缺少标签精度、换手、成本、年度与资产归因，不能完成正式验收
m3f_equal_rank,M3F 等权排名融合,20,0,8,7,0.10579382693454116,0.5775262506834394,5.458978726998673,2,1,5,False,False,截图缺少标签精度、换手、成本、年度与资产归因，不能完成正式验收
m3g_efficiency_rank,M3G 效率动量复核,15,5,0,0,0.051125114707446906,0.26230906308404933,5.130728108583417,0,0,0,False,False,截图缺少标签精度、换手、成本、年度与资产归因，不能完成正式验收
