lookback,rebalance_interval,complete_mode_count,median_cagr_pct,median_calmar,positive_excess_mode_count,step04_numeric_gate_mode_count
252,20,9,9.200552753501867,0.21816803928426323,7,0
252,10,9,7.079109748484513,0.24355173589409865,6,0
252,5,9,6.050763795736636,0.23063313213983488,3,0
252,1,9,5.7517174322510245,0.21350202803731974,4,1
126,20,9,3.1539413833063357,0.0721725717003738,1,0
126,10,9,4.043530007086793,0.09244467323015072,2,1
126,5,9,7.286474402954135,0.10894251043303968,5,2
126,1,8,2.796688244288914,0.09326952842774125,3,0
63,20,9,0.9790545104342518,0.02490599110745998,0,0
63,10,9,1.2016506107392688,0.03337918363164636,3,1
63,5,9,4.162121882774938,0.15203824313126862,1,1
63,1,9,8.60540267736145,0.41142502339267206,5,5
31,20,9,8.242798198818413,0.39630963482088216,6,4
31,10,9,7.724032442709738,0.33193091717704076,5,3
31,5,9,5.908648968857899,0.27054253520411625,3,2
31,1,9,2.392278725667274,0.08306523353011366,4,4
14,20,9,2.221267885249878,0.043665576670923495,0,0
14,10,9,5.622792982156,0.14216922837309734,4,3
14,5,9,1.389184499838203,0.03477307884451071,0,0
14,1,9,-0.12371533987727279,-0.002836857140042944,2,0
