year,strategy,year_return
2016,Top2等权,-0.0623879643604458
2017,Top2等权,0.25217641637715604
2018,Top2等权,-0.19703656672039993
2019,Top2等权,0.47333310830854924
2020,Top2等权,2.023846664399502
2021,Top2等权,0.1572616014639352
2022,Top2等权,-0.23000334815698775
2023,Top2等权,0.1098895965022455
2024,Top2等权,0.2045071558045748
2025,Top2等权,0.2978027105554921
2026,Top2等权,0.08514956835671939
2016,Top3等权,-0.06559634753332089
2017,Top3等权,0.17403375060933235
2018,Top3等权,-0.1810150544619279
2019,Top3等权,0.42542083402198916
2020,Top3等权,1.1161635379528194
2021,Top3等权,0.057054868472407705
2022,Top3等权,-0.19549171772254026
2023,Top3等权,-0.006485495047472978
2024,Top3等权,0.14669006004483176
2025,Top3等权,0.1938038786241152
2026,Top3等权,0.049824252154004434
2016,买入持有510300,-0.12242866622428583
2017,买入持有510300,0.29224952741020904
2018,买入持有510300,-0.28408425980105245
2019,买入持有510300,0.4732325296281168
2020,买入持有510300,0.33037447988904445
2021,买入持有510300,-0.04316096747289211
2022,买入持有510300,-0.21682283721943807
2023,买入持有510300,-0.10434056761268773
2024,买入持有510300,0.18390804597701083
2025,买入持有510300,0.2149042246129611
2026,买入持有510300,0.07645788336933057
