signal_date,top_n,selected_symbols,selected_names,selected_bucket,selected_themes,selected_count,target_weight_each,selected_momentums,reason
2015-01-30,2,CASH,空仓,cash,现金,0,0.0,,行业和防守资产均无正动量，空仓
2015-02-27,2,CASH,空仓,cash,现金,0,0.0,,行业和防守资产均无正动量，空仓
2015-03-31,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.18088737|0.12830189,选择正动量行业/主题 ETF Top2，等权持有
2015-04-30,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.33112583|0.24626866,选择正动量行业/主题 ETF Top2，等权持有
2015-05-29,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.25496689|0.23782235,选择正动量行业/主题 ETF Top2，等权持有
2015-06-30,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.02763819|0.02388060,选择正动量行业/主题 ETF Top2，等权持有
2015-07-31,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.02160440,行业/主题 ETF 无正动量，切换到正动量防守资产
2015-08-31,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.02881142,行业/主题 ETF 无正动量，切换到正动量防守资产
2015-09-30,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.00406349,行业/主题 ETF 无正动量，切换到正动量防守资产
2015-10-30,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.08510638|0.05974843,选择正动量行业/主题 ETF Top2，等权持有
2015-11-30,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.07829181|0.07324841,选择正动量行业/主题 ETF Top2，等权持有
2015-12-31,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.09933775|0.09036145,选择正动量行业/主题 ETF Top2，等权持有
2016-01-29,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.01298259,行业/主题 ETF 无正动量，切换到正动量防守资产
2016-02-29,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.00816288,行业/主题 ETF 无正动量，切换到正动量防守资产
2016-03-31,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.03833866|0.01798561,选择正动量行业/主题 ETF Top2，等权持有
2016-04-29,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.08474576|0.05263158,选择正动量行业/主题 ETF Top2，等权持有
2016-05-31,2,159928,消费ETF汇添富,sector,消费,1,1.0,0.01538462,选择正动量行业/主题 ETF Top2，等权持有
2016-06-30,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.07547170|0.04642857,选择正动量行业/主题 ETF Top2，等权持有
2016-07-29,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.14769231|0.14079422,选择正动量行业/主题 ETF Top2，等权持有
2016-08-31,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.10238908|0.04913295,选择正动量行业/主题 ETF Top2，等权持有
2016-09-30,2,512010,医药ETF易方达,sector,医药,1,1.0,0.03548387,选择正动量行业/主题 ETF Top2，等权持有
2016-10-31,2,512010|512880,医药ETF易方达|证券ETF国泰,sector,医药|证券,2,0.5,0.00931677|0.00378788,选择正动量行业/主题 ETF Top2，等权持有
2016-11-30,2,512880|159928,证券ETF国泰|消费ETF汇添富,sector,证券|消费,2,0.5,0.13226453|0.06232295,选择正动量行业/主题 ETF Top2，等权持有
2016-12-30,2,512010,医药ETF易方达,sector,医药,1,1.0,0.00611621,选择正动量行业/主题 ETF Top2，等权持有
2017-01-26,2,512660|159928,军工ETF国泰|消费ETF汇添富,sector,军工|消费,2,0.5,0.01091270|0.00537634,选择正动量行业/主题 ETF Top2，等权持有
2017-02-28,2,159928|512660,消费ETF汇添富|军工ETF国泰,sector,消费|军工,2,0.5,0.06267030|0.04334677,选择正动量行业/主题 ETF Top2，等权持有
2017-03-31,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.10752688|0.09146341,选择正动量行业/主题 ETF Top2，等权持有
2017-04-28,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.06567164|0.03836317,选择正动量行业/主题 ETF Top2，等权持有
2017-05-31,2,512010,医药ETF易方达,sector,医药,1,1.0,0.03399433,选择正动量行业/主题 ETF Top2，等权持有
2017-06-30,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.10591133|0.07002801,选择正动量行业/主题 ETF Top2，等权持有
2017-07-31,2,159928|512880,消费ETF汇添富|证券ETF国泰,sector,消费|证券,2,0.5,0.08495146|0.07106599,选择正动量行业/主题 ETF Top2，等权持有
2017-08-31,2,512880|159928,证券ETF国泰|消费ETF汇添富,sector,证券|消费,2,0.5,0.13126253|0.05180180,选择正动量行业/主题 ETF Top2，等权持有
2017-09-29,2,159928|512660,消费ETF汇添富|军工ETF国泰,sector,消费|军工,2,0.5,0.12472160|0.10676157,选择正动量行业/主题 ETF Top2，等权持有
2017-10-31,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.17987152|0.13079019,选择正动量行业/主题 ETF Top2，等权持有
