date,buy_turnover,sell_turnover,one_way_turnover,two_way_traded,estimated_cost
2015-04-01,1.0,0.0,1.0,1.0,0.0002
2015-08-03,1.0,1.0,1.0,2.0,0.0002
2015-11-02,1.0,1.0,1.0,2.0,0.0002
2016-02-01,1.0,1.0,1.0,2.0,0.0002
2016-04-01,1.0,1.0,1.0,2.0,0.0002
2016-06-01,0.5,0.5,0.5,1.0,0.0001
2016-07-01,0.5,0.5,0.5,1.0,0.0001
2016-10-10,0.5,0.5,0.5,1.0,0.0001
2016-11-01,0.5,0.5,0.5,1.0,0.0001
2016-12-01,0.5,0.5,0.5,1.0,0.0001
2017-01-03,1.0,1.0,1.0,2.0,0.0002
2017-02-03,1.0,1.0,1.0,2.0,0.0002
2017-04-05,0.5,0.5,0.5,1.0,0.0001
2017-06-01,0.5,0.5,0.5,1.0,0.0001
2017-07-03,0.5,0.5,0.5,1.0,0.0001
2017-08-01,0.5,0.5,0.5,1.0,0.0001
2017-10-09,0.5,0.5,0.5,1.0,0.0001
2017-11-01,0.5,0.5,0.5,1.0,0.0001
2018-01-02,0.5,0.5,0.5,1.0,0.0001
2018-03-01,0.5,0.5,0.5,1.0,0.0001
2018-04-02,1.0,1.0,1.0,2.0,0.0002
2018-06-01,0.5,0.5,0.5,1.0,0.0001
2018-08-01,1.0,1.0,1.0,2.0,0.0002
2018-09-03,1.0,1.0,1.0,2.0,0.0002
2018-11-01,0.5,0.5,0.5,1.0,0.0001
2018-12-03,0.5,0.5,0.5,1.0,0.0001
2019-01-02,1.0,1.0,1.0,2.0,0.0002
2019-02-01,0.5,0.5,0.5,1.0,0.0001
2019-03-01,0.5,0.5,0.5,1.0,0.0001
2019-05-06,0.5,0.5,0.5,1.0,0.0001
2019-06-03,0.5,0.5,0.5,1.0,0.0001
2019-07-01,0.5,0.5,0.5,1.0,0.0001
2019-08-01,1.0,1.0,1.0,2.0,0.0002
2019-09-02,0.5,0.5,0.5,1.0,0.0001
2019-11-01,0.5,0.5,0.5,1.0,0.0001
2019-12-02,1.0,1.0,1.0,2.0,0.0002
2020-01-02,1.0,1.0,1.0,2.0,0.0002
2020-02-03,0.5,0.5,0.5,1.0,0.0001
2020-03-02,0.5,0.5,0.5,1.0,0.0001
2020-04-01,0.5,0.5,0.5,1.0,0.0001
2020-05-06,0.5,0.5,0.5,1.0,0.0001
2020-07-01,0.5,0.5,0.5,1.0,0.0001
2020-08-03,0.5,0.5,0.5,1.0,0.0001
2020-09-01,0.5,0.5,0.5,1.0,0.0001
2020-10-09,0.5,0.5,0.5,1.0,0.0001
2020-11-02,0.5,0.5,0.5,1.0,0.0001
2021-03-01,1.0,1.0,1.0,2.0,0.0002
2021-04-01,0.5,0.5,0.5,1.0,0.0001
2021-05-06,0.5,0.5,0.5,1.0,0.0001
2021-06-01,0.5,0.5,0.5,1.0,0.0001
2021-07-01,0.5,0.5,0.5,1.0,0.0001
2021-08-02,0.5,0.5,0.5,1.0,0.0001
2021-09-01,1.0,1.0,1.0,2.0,0.0002
2021-10-08,0.5,0.5,0.5,1.0,0.0001
2021-11-01,0.5,0.5,0.5,1.0,0.0001
2021-12-01,0.5,0.5,0.5,1.0,0.0001
2022-01-04,0.5,0.5,0.5,1.0,0.0001
2022-02-07,1.0,1.0,1.0,2.0,0.0002
2022-03-01,0.5,0.5,0.5,1.0,0.0001
2022-04-01,0.5,0.5,0.5,1.0,0.0001
2022-06-01,0.5,0.5,0.5,1.0,0.0001
2022-07-01,1.0,1.0,1.0,2.0,0.0002
2022-09-01,1.0,1.0,1.0,2.0,0.0002
2022-11-01,1.0,1.0,1.0,2.0,0.0002
2022-12-01,0.5,0.5,0.5,1.0,0.0001
2023-01-03,1.0,1.0,1.0,2.0,0.0002
2023-03-01,1.0,1.0,1.0,2.0,0.0002
2023-05-04,0.5,0.5,0.5,1.0,0.0001
2023-06-01,0.5,0.5,0.5,1.0,0.0001
2023-07-03,1.0,1.0,1.0,2.0,0.0002
2023-08-01,1.0,1.0,1.0,2.0,0.0002
2023-10-09,1.0,1.0,1.0,2.0,0.0002
2023-11-01,0.5,0.5,0.5,1.0,0.0001
2024-01-02,0.5,0.5,0.5,1.0,0.0001
2024-02-01,0.5,0.5,0.5,1.0,0.0001
2024-04-01,1.0,1.0,1.0,2.0,0.0002
2024-05-06,0.5,0.5,0.5,1.0,0.0001
2024-06-03,0.5,0.5,0.5,1.0,0.0001
2024-07-01,1.0,1.0,1.0,2.0,0.0002
2024-09-02,1.0,1.0,1.0,2.0,0.0002
2024-10-08,0.5,0.5,0.5,1.0,0.0001
2024-11-01,0.5,0.5,0.5,1.0,0.0001
2025-01-02,0.5,0.5,0.5,1.0,0.0001
2025-02-05,0.5,0.5,0.5,1.0,0.0001
2025-03-03,1.0,1.0,1.0,2.0,0.0002
2025-04-01,0.5,0.5,0.5,1.0,0.0001
2025-05-06,1.0,1.0,1.0,2.0,0.0002
2025-06-03,1.0,1.0,1.0,2.0,0.0002
2025-07-01,0.5,0.5,0.5,1.0,0.0001
2025-08-01,1.0,1.0,1.0,2.0,0.0002
2025-09-01,0.5,0.5,0.5,1.0,0.0001
2025-10-09,0.5,0.5,0.5,1.0,0.0001
2025-11-03,0.5,0.5,0.5,1.0,0.0001
2025-12-01,0.5,0.5,0.5,1.0,0.0001
2026-01-05,0.5,0.5,0.5,1.0,0.0001
2026-04-01,1.0,1.0,1.0,2.0,0.0002
2026-05-06,1.0,1.0,1.0,2.0,0.0002
