date,amount
1990-12-19,1260.0
1990-12-20,197.0
1990-12-21,28.0
1990-12-24,32.0
1990-12-25,15.0
1990-12-26,100.0
1990-12-27,66.0
1990-12-28,108.0
1990-12-31,78.0
1991-01-02,91.0
1991-01-03,141.0
1991-01-04,420.0
1991-01-07,217.0
1991-01-08,2926.0
1991-01-09,5603.0
1991-01-10,9990.0
1991-01-11,13327.0
1991-01-14,12530.0
1991-01-15,1446.0
1991-01-16,509.0
1991-01-17,658.0
1991-01-18,3004.0
1991-01-21,2051.0
1991-01-22,354.0
1991-01-23,1095.0
1991-01-24,1857.0
1991-01-25,3447.0
1991-01-28,5107.0
1991-01-29,1387.0
1991-01-30,527.0
1991-01-31,510.0
1991-02-01,345.0
1991-02-04,553.0
1991-02-05,8562.0
1991-02-06,6641.0
1991-02-07,2133.0
1991-02-08,1234.0
1991-02-11,9317.0
1991-02-12,3774.0
1991-02-13,1152.0
1991-02-14,3624.0
1991-02-19,1748.0
1991-02-20,876.0
1991-02-21,3220.0
1991-02-22,3427.0
1991-02-25,810.0
1991-02-26,1094.0
1991-02-27,214.0
1991-02-28,2258.0
1991-03-01,7124.0
1991-03-04,2518.0
1991-03-05,982.0
1991-03-06,719.0
1991-03-07,568.0
1991-03-08,933.0
1991-03-11,514.0
1991-03-12,957.0
1991-03-13,498.0
1991-03-14,326.0
1991-03-15,790.0
1991-03-18,1250.0
1991-03-19,892.0
1991-03-20,678.0
1991-03-21,151.0
1991-03-22,207.0
1991-03-25,443.0
1991-03-26,1164.0
1991-03-27,668.0
1991-03-28,961.0
1991-03-29,2185.0
1991-04-01,11999.0
1991-04-02,816.0
1991-04-03,2063.0
1991-04-04,10517.0
1991-04-05,11589.0
1991-04-08,1862.0
1991-04-09,320.0
1991-04-10,466.0
1991-04-11,239.0
1991-04-12,399.0
1991-04-15,301.0
1991-04-16,105.0
1991-04-17,201.0
1991-04-18,178.0
1991-04-19,646.0
1991-04-22,430.0
1991-04-23,282.0
1991-04-24,148.0
1991-04-25,1495.0
1991-04-26,13354.0
1991-04-29,8411.0
1991-04-30,4850.0
1991-05-02,1465.0
1991-05-03,4230.0
1991-05-06,2764.0
1991-05-07,1875.0
1991-05-08,423.0
1991-05-10,249.0
1991-05-13,235.0
1991-05-14,267.0
1991-05-15,390.0
1991-05-16,3108.0
1991-05-17,20192.0
1991-05-20,863.0
1991-05-21,771.0
1991-05-22,18677.0
1991-05-23,5609.0
1991-05-24,1024.0
1991-05-27,8619.0
1991-05-28,1630.0
1991-05-29,530.0
1991-05-30,388.0
1991-05-31,1211.0
1991-06-03,954.0
1991-06-04,3603.0
1991-06-05,308.0
1991-06-07,100.0
1991-06-10,400.0
1991-06-11,543.0
1991-06-12,1372.0
1991-06-13,20868.0
1991-06-14,6633.0
1991-06-17,6933.0
1991-06-18,2030.0
1991-06-19,1481.0
1991-06-20,2299.0
1991-06-21,13613.0
1991-06-24,1960.0
1991-06-25,1624.0
1991-06-26,3409.0
1991-06-27,4497.0
1991-06-28,4935.0
1991-07-01,22940.0
1991-07-02,2838.0
1991-07-03,2715.0
1991-07-04,13394.0
1991-07-05,14540.0
1991-07-08,5874.0
1991-07-09,8442.0
1991-07-10,6023.0
1991-07-11,5073.0
1991-07-12,3144.0
1991-07-15,11938.0
1991-07-16,2796.0
1991-07-17,660.0
1991-07-18,847.0
1991-07-19,10823.0
1991-07-22,2764.0
1991-07-23,7241.0
1991-07-24,5988.0
1991-07-25,8390.0
1991-07-26,9279.0
1991-07-29,4771.0
1991-07-30,5601.0
1991-07-31,4051.0
1991-08-01,4731.0
1991-08-02,11744.0
1991-08-05,5126.0
1991-08-06,2001.0
1991-08-07,1107.0
1991-08-08,1951.0
1991-08-09,3715.0
1991-08-12,3919.0
1991-08-13,20039.0
1991-08-14,5480.0
1991-08-15,1537.0
1991-08-16,984.0
1991-08-19,985.0
1991-08-20,573.0
1991-08-21,3411.0
1991-08-22,1296.0
1991-08-23,605.0
1991-08-26,643.0
1991-08-27,796.0
1991-08-28,804.0
1991-08-29,2608.0
1991-08-30,6759.0
1991-09-02,1408.0
1991-09-03,1475.0
1991-09-04,650.0
1991-09-05,1514.0
1991-09-06,2765.0
1991-09-09,3552.0
1991-09-10,33434.0
1991-09-11,21392.0
1991-09-12,19699.0
1991-09-13,37434.0
1991-09-16,9933.0
1991-09-17,28829.0
1991-09-18,15822.0
1991-09-19,23439.0
1991-09-20,12075.0
1991-09-23,4034.0
1991-09-24,1426.0
1991-09-25,1389.0
1991-09-26,6541.0
1991-09-27,33728.0
1991-09-30,25594.0
1991-10-03,18741.0
1991-10-04,7360.0
1991-10-07,11369.0
1991-10-08,23745.0
1991-10-09,20989.0
1991-10-10,6638.0
1991-10-11,10981.0
1991-10-14,21493.0
1991-10-15,11002.0
1991-10-16,9562.0
1991-10-17,6077.0
1991-10-18,2968.0
1991-10-21,3537.0
1991-10-22,2128.0
1991-10-23,2623.0
1991-10-24,19357.0
1991-10-25,32650.0
1991-10-28,3217.0
1991-10-29,2697.0
1991-10-30,2380.0
1991-10-31,3929.0
1991-11-01,5906.0
1991-11-04,4474.0
1991-11-05,2805.0
1991-11-06,2848.0
1991-11-07,4833.0
1991-11-08,14406.0
1991-11-11,2474.0
1991-11-12,895.0
1991-11-13,799.0
1991-11-14,862.0
1991-11-15,2058.0
1991-11-18,1885.0
1991-11-19,2310.0
1991-11-20,2325.0
1991-11-21,2155.0
1991-11-22,2133.0
1991-11-25,2331.0
1991-11-26,2454.0
1991-11-27,2120.0
1991-11-28,2502.0
1991-11-29,33695.0
1991-12-02,19128.0
1991-12-03,1101.0
1991-12-04,742.0
1991-12-05,2050.0
1991-12-06,1613.0
1991-12-09,1631.0
1991-12-10,516.0
1991-12-11,669.0
1991-12-12,1577.0
1991-12-13,746.0
1991-12-16,580.0
1991-12-17,493.0
1991-12-18,760.0
1991-12-19,1094.0
1991-12-20,4393.0
1991-12-23,1046.0
1991-12-24,486.0
1991-12-25,573.0
1991-12-26,1168.0
1991-12-27,1551.0
1991-12-30,1165.0
1991-12-31,584.0
1992-01-02,928.0
1992-01-03,1436.0
1992-01-06,3400.0
1992-01-07,892.0
1992-01-08,659.0
1992-01-09,943.0
1992-01-10,1605.0
1992-01-13,725.0
1992-01-14,632.0
1992-01-15,259.0
1992-01-16,378.0
1992-01-17,250.0
1992-01-20,445.0
1992-01-21,534.0
1992-01-22,312.0
1992-01-23,413.0
1992-01-24,722.0
1992-01-27,562.0
1992-01-28,664.0
1992-01-29,401.0
1992-01-30,391.0
1992-01-31,354.0
1992-02-03,305.0
1992-02-07,327.0
1992-02-10,354.0
1992-02-11,296.0
1992-02-12,270.0
1992-02-14,457.0
1992-02-17,6369.0
1992-02-18,7407.0
1992-02-19,9401.0
1992-02-20,10341.0
1992-02-21,11582.0
1992-02-24,30157.0
1992-02-25,4862.0
1992-02-26,5753.0
1992-02-27,9524.0
1992-02-28,9862.0
1992-03-02,3405.0
1992-03-03,2989.0
1992-03-05,8360.0
1992-03-06,5237.0
1992-03-09,20968.0
1992-03-10,5011.0
1992-03-11,4001.0
1992-03-12,10326.0
1992-03-13,2527.0
1992-03-16,2646.0
1992-03-17,890.0
1992-03-18,4028.0
1992-03-19,13628.0
1992-03-20,3160.0
1992-03-23,10290.0
1992-03-24,4378.0
1992-03-25,11820.0
1992-03-26,10225.0
1992-03-27,1892.0
1992-03-30,12655.0
1992-03-31,17391.0
1992-04-01,4065.0
1992-04-02,1673.0
1992-04-03,1700.0
1992-04-06,5298.0
1992-04-07,10613.0
1992-04-08,1866.0
1992-04-09,3168.0
1992-04-10,7066.0
1992-04-13,20593.0
1992-04-14,9415.0
1992-04-15,10566.0
1992-04-16,39211.0
1992-04-17,15678.0
1992-04-20,10170.0
1992-04-21,51257.0
1992-04-22,50596.0
1992-04-23,54718.0
1992-04-24,34706.0
1992-04-27,37257.0
1992-04-28,42392.0
1992-04-29,52899.0
1992-04-30,45704.0
1992-05-04,64362.0
1992-05-05,49359.0
1992-05-06,33687.0
1992-05-07,34414.0
1992-05-08,48634.0
1992-05-12,33278.0
1992-05-13,33897.0
1992-05-14,33010.0
1992-05-15,63283.0
1992-05-18,29992.0
1992-05-19,47790.0
1992-05-20,65646.0
1992-05-21,89657.0
1992-05-22,93725.0
1992-05-25,88969.0
1992-05-26,68128.0
1992-05-27,64528.0
1992-05-28,48389.0
1992-05-29,51615.0
1992-06-01,39394.0
1992-06-02,34033.0
1992-06-03,41002.0
1992-06-04,43184.0
1992-06-05,44007.0
1992-06-08,28747.0
1992-06-09,35100.0
1992-06-10,58732.0
1992-06-11,34897.0
1992-06-12,47202.0
1992-06-15,37747.0
1992-06-17,34755.0
1992-06-18,29101.0
1992-06-19,25146.0
1992-06-22,27924.0
1992-06-23,19490.0
1992-06-24,16975.0
1992-06-25,19846.0
1992-06-26,29061.0
1992-06-29,53610.0
1992-06-30,58976.0
1992-07-01,58330.0
1992-07-02,46512.0
1992-07-03,75245.0
1992-07-06,63782.0
1992-07-07,68826.0
1992-07-08,68043.0
1992-07-09,53216.0
1992-07-10,58149.0
1992-07-13,51595.0
1992-07-14,44462.0
1992-07-15,44812.0
1992-07-16,50464.0
1992-07-17,62671.0
1992-07-20,31699.0
1992-07-21,35912.0
1992-07-22,47347.0
1992-07-23,77014.0
1992-07-24,57155.0
1992-07-27,59560.0
1992-07-28,78387.0
1992-07-29,68987.0
1992-07-30,99108.0
1992-07-31,87149.0
1992-08-03,60103.0
1992-08-04,52472.0
1992-08-05,61146.0
1992-08-06,72555.0
1992-08-07,78256.0
1992-08-10,81781.0
1992-08-11,106999.0
1992-08-12,144831.0
1992-08-13,115594.0
1992-08-14,104407.0
1992-08-17,113357.0
1992-08-18,148494.0
1992-08-19,75952.0
1992-08-20,160565.0
1992-08-21,170567.0
1992-08-24,99347.0
1992-08-25,84662.0
1992-08-26,126153.0
1992-08-27,54258.0
1992-08-28,74884.0
1992-08-31,54296.0
1992-09-01,78694.0
1992-09-02,93924.0
1992-09-03,163730.0
1992-09-04,98772.0
1992-09-07,87105.0
1992-09-08,100634.0
1992-09-09,111908.0
1992-09-10,113109.0
1992-09-11,117294.0
1992-09-14,137270.0
1992-09-15,119373.0
1992-09-16,143926.0
1992-09-17,94181.0
1992-09-18,61707.0
1992-09-21,81728.0
1992-09-22,69552.0
1992-09-23,65590.0
1992-09-24,77787.0
1992-09-25,76536.0
1992-09-28,42557.0
1992-09-29,64830.0
1992-09-30,89778.0
1992-10-05,94116.0
1992-10-06,71613.0
1992-10-07,53830.0
1992-10-08,84532.0
1992-10-09,93947.0
1992-10-12,110752.0
1992-10-13,112238.0
1992-10-14,105525.0
1992-10-15,75758.0
1992-10-16,68851.0
1992-10-19,81039.0
1992-10-20,94609.0
1992-10-21,91927.0
1992-10-22,138728.0
1992-10-23,114981.0
1992-10-26,125657.0
1992-10-27,141388.0
1992-10-28,116311.0
1992-10-29,124059.0
1992-10-30,146510.0
1992-11-02,126226.0
1992-11-03,125543.0
1992-11-04,128590.0
1992-11-05,95464.0
1992-11-06,73791.0
1992-11-09,95622.0
1992-11-10,124661.0
1992-11-11,104914.0
1992-11-12,121120.0
1992-11-13,116763.0
1992-11-16,107074.0
1992-11-17,100762.0
1992-11-18,93285.0
1992-11-19,115030.0
1992-11-20,86477.0
1992-11-23,133314.0
1992-11-24,175095.0
1992-11-25,302928.0
1992-11-26,387633.0
1992-11-27,266915.0
1992-11-30,370655.0
1992-12-01,215404.0
1992-12-02,181421.0
1992-12-03,301014.0
1992-12-04,305753.0
1992-12-07,250742.0
1992-12-08,433660.0
1992-12-09,276204.0
1992-12-10,227439.0
1992-12-11,307490.0
1992-12-14,188141.0
1992-12-15,141703.0
1992-12-16,121331.0
1992-12-17,116802.0
1992-12-18,102336.0
1992-12-21,277037.0
1992-12-22,183322.0
1992-12-23,113159.0
1992-12-24,166752.0
1992-12-25,261687.0
1992-12-28,152167.0
1992-12-29,149864.0
1992-12-30,152735.0
1992-12-31,135511.0
1993-01-04,183850.0
1993-01-06,402871.0
1993-01-07,268447.0
1993-01-08,373432.0
1993-01-11,638851.0
1993-01-12,624399.0
1993-01-13,395307.0
1993-01-14,638404.0
1993-01-15,466303.0
1993-01-18,338369.0
1993-01-19,332610.0
1993-01-20,258376.0
1993-01-21,301864.0
1993-01-22,325643.0
1993-01-27,472632.0
1993-01-28,460101.0
1993-01-29,520097.0
1993-02-01,683441.0
1993-02-02,614413.0
1993-02-03,560566.0
1993-02-04,556916.0
1993-02-05,651564.0
1993-02-08,622541.0
1993-02-09,764792.0
1993-02-10,788796.0
1993-02-11,731658.0
1993-02-12,853779.0
1993-02-16,493707.0
1993-02-17,374017.0
1993-02-18,442316.0
1993-02-19,504569.0
1993-02-22,477999.0
1993-02-23,471463.0
1993-02-24,720960.0
1993-02-25,595583.0
1993-02-26,650262.0
1993-03-01,425901.0
1993-03-02,399956.0
1993-03-03,193539.0
1993-03-04,277967.0
1993-03-05,484992.0
1993-03-08,759314.0
1993-03-09,391658.0
1993-03-10,301790.0
1993-03-11,448178.0
1993-03-12,402110.0
1993-03-15,256755.0
1993-03-16,243174.0
1993-03-17,165707.0
1993-03-18,176715.0
1993-03-19,263663.0
1993-03-22,377138.0
1993-03-23,350248.0
1993-03-24,220169.0
1993-03-25,219465.0
1993-03-26,512568.0
1993-03-29,244217.0
1993-03-30,271616.0
1993-03-31,235056.0
1993-04-01,138294.0
1993-04-02,184978.0
1993-04-05,180060.0
1993-04-06,538943.0
1993-04-07,1019684.0
1993-04-09,1069085.0
1993-04-12,638958.0
1993-04-13,668121.0
1993-04-14,880809.0
1993-04-15,597305.0
1993-04-16,651470.0
1993-04-19,478577.0
1993-04-20,450074.0
1993-04-21,280275.0
1993-04-22,344892.0
1993-04-23,556849.0
1993-04-26,774385.0
1993-04-27,911528.0
1993-04-28,688094.0
1993-04-29,502554.0
1993-04-30,399490.0
1993-05-03,595189.0
1993-05-04,712924.0
1993-05-05,460096.0
1993-05-06,465678.0
1993-05-07,432208.0
1993-05-10,397381.0
1993-05-11,241421.0
1993-05-12,248629.0
1993-05-13,193316.0
1993-05-14,257025.0
1993-05-17,194832.0
1993-05-18,194902.0
1993-05-19,117362.0
1993-05-20,243879.0
1993-05-21,153564.0
1993-05-24,386972.0
1993-05-25,301064.0
1993-05-26,202565.0
1993-05-27,253022.0
1993-05-28,218419.0
1993-05-31,341908.0
1993-06-01,275858.0
1993-06-02,998846.0
1993-06-03,1103748.0
1993-06-04,501040.0
1993-06-07,449563.0
1993-06-08,1012363.0
1993-06-09,454705.0
1993-06-10,323044.0
1993-06-11,279582.0
1993-06-14,421872.0
1993-06-15,233735.0
1993-06-16,150297.0
1993-06-17,134334.0
1993-06-18,148634.0
1993-06-21,175266.0
1993-06-22,163053.0
1993-06-23,136034.0
1993-06-24,137405.0
1993-06-25,224396.0
1993-06-28,328364.0
1993-06-29,832428.0
1993-06-30,580651.0
1993-07-01,399043.0
1993-07-02,264050.0
1993-07-05,286417.0
1993-07-06,326224.0
1993-07-07,233996.0
1993-07-08,120236.0
1993-07-09,174936.0
1993-07-12,433849.0
1993-07-13,284326.0
1993-07-14,308157.0
1993-07-15,179234.0
1993-07-16,190163.0
1993-07-19,336058.0
1993-07-20,194281.0
1993-07-21,162937.0
1993-07-22,148959.0
1993-07-23,202724.0
1993-07-26,245459.0
1993-07-27,148110.0
1993-07-28,439473.0
1993-07-29,259667.0
1993-07-30,1222136.0
1993-08-02,1327101.0
1993-08-03,307480.0
1993-08-04,343278.0
1993-08-05,538329.0
1993-08-06,524069.0
1993-08-09,1088235.0
1993-08-10,1438811.0
1993-08-11,435531.0
1993-08-12,1015689.0
1993-08-13,1332467.0
1993-08-16,1432882.0
1993-08-17,1542719.0
1993-08-18,642828.0
1993-08-19,448297.0
1993-08-20,451256.0
1993-08-23,497704.0
1993-08-24,342213.0
1993-08-25,285673.0
1993-08-26,170181.0
1993-08-27,411332.0
1993-08-30,231770.0
1993-08-31,169092.0
1993-09-01,245553.0
1993-09-02,171555.0
1993-09-03,323168.0
1993-09-06,497809.0
1993-09-07,345944.0
1993-09-08,263978.0
1993-09-09,237052.0
1993-09-10,171504.0
1993-09-13,295061.0
1993-09-14,138936.0
1993-09-15,100191.0
1993-09-16,114538.0
1993-09-17,142359.0
1993-09-20,177122.0
