date,momentum_baseline,momentum_bond_defense,momentum_bond_defense_stress,buy_hold_510300
2015-01-05,100000.0,100000.0,100000.0,100000.0
2015-01-06,100000.0,100000.0,100000.0,102174.688057041
2015-01-07,100000.0,100000.0,100000.0,101461.67557932263
2015-01-08,100000.0,100000.0,100000.0,102424.24242424242
2015-01-09,100000.0,100000.0,100000.0,98859.18003565061
2015-01-12,100000.0,100000.0,100000.0,98324.42067736185
2015-01-13,100000.0,100000.0,100000.0,97789.66131907307
2015-01-14,100000.0,100000.0,100000.0,97896.61319073083
2015-01-15,100000.0,100000.0,100000.0,97361.85383244207
2015-01-16,100000.0,100000.0,100000.0,101390.3743315508
2015-01-19,100000.0,100000.0,100000.0,95187.16577540107
2015-01-20,100000.0,100000.0,100000.0,90766.48841354722
2015-01-21,100000.0,100000.0,100000.0,93761.14081996435
2015-01-22,100000.0,100000.0,100000.0,99073.08377896613
2015-01-23,100000.0,100000.0,100000.0,99964.34937611407
2015-01-26,100000.0,100000.0,100000.0,100392.15686274509
2015-01-27,100000.0,100000.0,100000.0,101176.47058823529
2015-01-28,100000.0,100000.0,100000.0,98645.27629233511
2015-01-29,100000.0,100000.0,100000.0,95935.82887700535
2015-01-30,100000.0,100000.0,100000.0,96969.69696969696
2015-02-02,100000.0,100000.0,100000.0,92549.01960784313
2015-02-03,99980.00299960005,99980.00299960005,99900.07495003124,93368.98395721926
2015-02-04,100622.06630564222,100545.99594205801,100467.27435361475,95365.41889483065
2015-02-05,100379.20048900592,100397.49911405655,100318.77752561329,96648.8413547237
2015-02-06,100323.0245722187,100375.61493588692,100298.09980856921,91978.60962566844
2015-02-09,99461.99925419284,99766.74468807236,99688.32471491049,90196.07843137253
2015-02-10,97881.45756100176,98534.81731396599,98457.90541721106,91693.4046345811
2015-02-11,99405.82333740561,99691.2027403363,99613.9892283,94081.99643493761
2015-02-12,100450.91190296377,100586.40453917885,100508.58779657977,94723.70766488413
2015-02-13,101307.39668361777,101299.09407653214,101220.97571865165,95508.02139037433
2015-02-16,102679.97132462391,102441.95177953652,102363.53180637465,95971.47950089126
2015-02-17,105620.1788139673,104768.11298665404,104688.48655236661,97575.75757575757
2015-02-25,105760.97498956622,104903.11119204349,104822.57991191186,98039.2156862745
2015-02-26,104904.49020891222,104246.43800753425,104166.20834268403,96114.08199643494
