strategy,period,start_date,end_date,fee_rate,slippage,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,calmar,worst_calendar_year,order_count,total_fees,annual_turnover
momentum_baseline,full,2015-01-05,2026-06-18,0.0001,0.0001,4.727649028391659,0.17120949836230692,0.33344668312345976,-0.4728222654524248,0.6411047939218862,0.36210117600634434,-0.2569445930827785,475,5224.502563048787,18.926415662599975
momentum_baseline,in_sample,2015-01-05,2020-12-31,0.0001,0.0001,1.8928333157095993,0.20092741052241547,0.33613755175379056,-0.45236264107642765,0.7143780163459006,0.4441733076018281,-0.2569445930827785,475,5224.502563048787,18.926415662599975
momentum_baseline,out_of_sample,2021-01-04,2026-06-18,0.0001,0.0001,0.9108331076965397,0.13148119128656655,0.33032468884630345,-0.4728222654524248,0.538443518994523,0.2780774106751454,-0.11692135557573913,475,5224.502563048787,18.926415662599975
momentum_bond_defense,full,2015-01-05,2026-06-18,0.0001,0.0001,4.834792602419326,0.1731766842156699,0.3067360785049078,-0.4740273006363923,0.6742754419581444,0.36533061277942497,-0.2294692516057023,528,5310.546959918717,18.799250765389022
momentum_bond_defense,in_sample,2015-01-05,2020-12-31,0.0001,0.0001,1.957829226033705,0.2055356037029752,0.2939619568765755,-0.37133091272214014,0.7842127412289396,0.5535106199380001,-0.2294692516057023,528,5310.546959918717,18.799250765389022
momentum_bond_defense,out_of_sample,2021-01-04,2026-06-18,0.0001,0.0001,0.9038033982155811,0.13068593501932146,0.3201216244305959,-0.4740273006363923,0.543044628852142,0.2756928447873628,-0.11692117562991855,528,5310.546959918717,18.799250765389022
momentum_bond_defense_stress,full,2015-01-05,2026-06-18,0.0005,0.0005,3.997069013001023,0.15682725342470016,0.3067151536654452,-0.4954880523076024,0.6285072565090676,0.3165106659874429,-0.23834358616051676,528,24180.50865654974,18.686310134960966
momentum_bond_defense_stress,in_sample,2015-01-05,2020-12-31,0.0005,0.0005,1.755042889652041,0.19086748874432202,0.29388144351043727,-0.37225635657706724,0.7426360938581192,0.5127313083364561,-0.23834358616051676,528,24180.50865654974,18.686310134960966
momentum_bond_defense_stress,out_of_sample,2021-01-04,2026-06-18,0.0005,0.0005,0.7505011805328607,0.11272225119882107,0.3201588575618698,-0.4954880523076024,0.49294624992862157,0.22749741527338044,-0.12983459730638025,528,24180.50865654974,18.686310134960966
buy_hold_510300,full,2015-01-05,2026-06-18,0.0,0.0,0.7622103386809267,0.052641459791703316,0.2704144254696228,-0.5304328718962865,0.3250778766839938,0.09924245381609022,-0.2822769953051638,0,0.0,0.0
buy_hold_510300,in_sample,2015-01-05,2020-12-31,0.0,0.0,0.6745098039215687,0.09292601949550927,0.3161885115383876,-0.5304328718962865,0.44037006876431023,0.1751890284689572,-0.2822769953051638,0,0.0,0.0
buy_hold_510300,out_of_sample,2021-01-04,2026-06-18,0.0,0.0,0.03215702651910646,0.006056118378253705,0.20836609479556356,-0.4645712209302326,0.1315731122968743,0.01303593099488009,-0.2173818340230883,0,0.0,0.0
