symbol,planned_name,bucket,theme,actual_name,rows,start,end,missing_close,avg_amount,min_amount,adjust,source,download_status
510500,中证500ETF,benchmark,中证500,,0,,,0,,,qfq_planned_not_downloaded,eastmoney_push2his_failed,failed
511880,银华日利ETF,defensive,货币/现金,,0,,,0,,,qfq_planned_not_downloaded,eastmoney_push2his_failed,failed
518880,黄金ETF,defensive,黄金,,0,,,0,,,qfq_planned_not_downloaded,eastmoney_push2his_failed,failed
159819,人工智能ETF,sector,人工智能,,0,,,0,,,qfq_planned_not_downloaded,eastmoney_push2his_failed,failed
159825,农业ETF,sector,农业,,0,,,0,,,qfq_planned_not_downloaded,eastmoney_push2his_failed,failed
159865,养殖ETF,sector,养殖,,0,,,0,,,qfq_planned_not_downloaded,eastmoney_push2his_failed,failed
159995,芯片ETF,sector,芯片,,0,,,0,,,qfq_planned_not_downloaded,eastmoney_push2his_failed,failed
159996,家电ETF,sector,家电,,0,,,0,,,qfq_planned_not_downloaded,eastmoney_push2his_failed,failed
159915,创业板ETF,benchmark,创业板,创业板ETF易方达,2782,2015-01-05,2026-06-18,0,1456465620.7270112,63329683.0,qfq,eastmoney_push2his_existing_project_file,ok
510300,沪深300ETF,benchmark,沪深300,沪深300ETF华泰柏瑞,2783,2015-01-05,2026-06-18,0,2428533178.7269135,155394118.0,qfq,eastmoney_push2his_existing_project_file,ok
511010,国债ETF,defensive,国债,国债ETF国泰,2783,2015-01-05,2026-06-18,0,385025365.3880704,2408301.0,qfq,eastmoney_push2his_existing_project_file,ok
511260,十年国债ETF,defensive,十年国债,十年国债ETF国泰,2137,2017-08-24,2026-06-18,0,768977769.4253627,24384.0,qfq,eastmoney_push2his,ok
159928,消费ETF,sector,消费,消费ETF汇添富,2783,2015-01-05,2026-06-18,0,136604145.2328606,5731.0,qfq,eastmoney_push2his,ok
512010,医药ETF,sector,医药,医药ETF易方达,2781,2015-01-05,2026-06-18,0,251947493.68356708,786.0,qfq,eastmoney_push2his,ok
512170,医疗ETF,sector,医疗,医疗ETF华宝,1699,2019-06-17,2026-06-18,0,389045095.642731,2479580.0,qfq,eastmoney_push2his,ok
512400,有色金属ETF,sector,有色金属,有色金属ETF南方,2132,2017-09-01,2026-06-18,0,252134746.57739213,113306.0,qfq,eastmoney_push2his,ok
512480,半导体ETF,sector,半导体,半导体ETF国联安,1702,2019-06-12,2026-06-18,0,882621522.8613396,3717624.0,qfq,eastmoney_push2his,ok
512660,军工ETF,sector,军工,军工ETF国泰,2393,2016-08-08,2026-06-18,0,368585129.109486,5945786.0,qfq,eastmoney_push2his,ok
512690,酒ETF,sector,白酒/酒,酒ETF鹏华,1728,2019-05-06,2026-06-18,0,513531821.337963,7449087.0,qfq,eastmoney_push2his,ok
512800,银行ETF,sector,银行,银行ETF华宝,2153,2017-08-03,2026-06-18,0,316834076.17138875,1590339.0,qfq,eastmoney_push2his,ok
512880,证券ETF,sector,证券,证券ETF国泰,2393,2016-08-08,2026-06-18,0,1155727522.8228166,2458331.0,qfq,eastmoney_push2his,ok
512980,传媒ETF,sector,传媒,传媒ETF广发,2038,2018-01-19,2026-06-18,0,111386515.57850835,1178057.0,qfq,eastmoney_push2his,ok
515030,新能源车ETF,sector,新能源车,新能源车ETF华夏,1526,2020-03-04,2026-06-18,0,300929128.3401049,32847670.0,qfq,eastmoney_push2his,ok
515220,煤炭ETF,sector,煤炭,煤炭ETF国泰,1528,2020-03-02,2026-06-18,0,290787993.46727747,11626770.0,qfq,eastmoney_push2his,ok
515230,软件ETF,sector,软件,软件ETF国泰,1285,2021-03-02,2026-06-18,0,99501141.95875487,16596577.0,qfq,eastmoney_push2his,ok
515790,光伏ETF,sector,光伏,光伏ETF华泰柏瑞,1331,2020-12-18,2026-06-18,0,632141472.6649137,119828429.0,qfq,eastmoney_push2his,ok
