date,position,strategy_return,strategy_return_after_cost,trade,nav
2015-01-05,CASH,0.0,0.0,False,1.0
2015-01-06,CASH,0.0,0.0,False,1.0
2015-01-07,CASH,0.0,0.0,False,1.0
2015-01-08,CASH,0.0,0.0,False,1.0
2015-01-09,CASH,0.0,0.0,False,1.0
2015-01-12,CASH,0.0,0.0,False,1.0
2015-01-13,CASH,0.0,0.0,False,1.0
2015-01-14,CASH,0.0,0.0,False,1.0
2015-01-15,CASH,0.0,0.0,False,1.0
2015-01-16,CASH,0.0,0.0,False,1.0
2015-01-19,CASH,0.0,0.0,False,1.0
2015-01-20,CASH,0.0,0.0,False,1.0
2015-01-21,CASH,0.0,0.0,False,1.0
2015-01-22,CASH,0.0,0.0,False,1.0
2015-01-23,CASH,0.0,0.0,False,1.0
2015-01-26,CASH,0.0,0.0,False,1.0
2015-01-27,CASH,0.0,0.0,False,1.0
2015-01-28,CASH,0.0,0.0,False,1.0
2015-01-29,CASH,0.0,0.0,False,1.0
2015-01-30,CASH,0.0,0.0,False,1.0
2015-02-02,CASH,0.0,0.0,False,1.0
2015-02-03,CASH,0.0,0.0,False,1.0
2015-02-04,CASH,0.0,0.0,False,1.0
2015-02-05,CASH,0.0,0.0,False,1.0
2015-02-06,CASH,0.0,0.0,False,1.0
2015-02-09,CASH,0.0,0.0,False,1.0
2015-02-10,CASH,0.0,0.0,False,1.0
2015-02-11,CASH,0.0,0.0,False,1.0
2015-02-12,CASH,0.0,0.0,False,1.0
2015-02-13,CASH,0.0,0.0,False,1.0
2015-02-16,CASH,0.0,0.0,False,1.0
2015-02-17,CASH,0.0,0.0,False,1.0
2015-02-25,CASH,0.0,0.0,False,1.0
2015-02-26,CASH,0.0,0.0,False,1.0
2015-02-27,CASH,0.0,0.0,False,1.0
2015-03-02,CASH,0.0,0.0,False,1.0
2015-03-03,CASH,0.0,0.0,False,1.0
2015-03-04,CASH,0.0,0.0,False,1.0
2015-03-05,CASH,0.0,0.0,False,1.0
2015-03-06,CASH,0.0,0.0,False,1.0
2015-03-09,CASH,0.0,0.0,False,1.0
2015-03-10,CASH,0.0,0.0,False,1.0
2015-03-11,CASH,0.0,0.0,False,1.0
2015-03-12,CASH,0.0,0.0,False,1.0
2015-03-13,CASH,0.0,0.0,False,1.0
2015-03-16,CASH,0.0,0.0,False,1.0
2015-03-17,CASH,0.0,0.0,False,1.0
2015-03-18,CASH,0.0,0.0,False,1.0
2015-03-19,CASH,0.0,0.0,False,1.0
2015-03-20,CASH,0.0,0.0,False,1.0
2015-03-23,CASH,0.0,0.0,False,1.0
2015-03-24,CASH,0.0,0.0,False,1.0
2015-03-25,CASH,0.0,0.0,False,1.0
2015-03-26,CASH,0.0,0.0,False,1.0
2015-03-27,CASH,0.0,0.0,False,1.0
2015-03-30,CASH,0.0,0.0,False,1.0
2015-03-31,CASH,0.0,0.0,False,1.0
2015-04-01,CASH,0.0,0.0,False,1.0
2015-04-02,CASH,0.0,0.0,False,1.0
2015-04-03,CASH,0.0,0.0,False,1.0
2015-04-07,CASH,0.0,0.0,False,1.0
2015-04-08,CASH,0.0,0.0,False,1.0
2015-04-09,CASH,0.0,0.0,False,1.0
2015-04-10,CASH,0.0,0.0,False,1.0
2015-04-13,CASH,0.0,0.0,False,1.0
2015-04-14,CASH,0.0,0.0,False,1.0
2015-04-15,CASH,0.0,0.0,False,1.0
2015-04-16,CASH,0.0,0.0,False,1.0
2015-04-17,CASH,0.0,0.0,False,1.0
2015-04-20,CASH,0.0,0.0,False,1.0
2015-04-21,CASH,0.0,0.0,False,1.0
2015-04-22,CASH,0.0,0.0,False,1.0
