date,window_label,lookback_days,rebalance_frequency,position,strategy_return,strategy_return_after_cost,trade,nav
2015-01-05,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-06,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-07,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-08,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-09,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-12,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-13,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-14,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-15,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-16,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-19,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-20,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-21,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-22,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-23,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-26,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-27,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-28,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-29,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-01-30,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-02-02,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-02-03,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-02-04,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-02-05,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-02-06,mom_1m,21,weekly,CASH,0.0,0.0,False,1.0
2015-02-09,mom_1m,21,weekly,511010,0.001391375418385632,0.0011913754183856319,True,1.0011913754183857
2015-02-10,mom_1m,21,weekly,511010,-0.006364228179442044,-0.006364228179442044,False,0.9948195650539337
2015-02-11,mom_1m,21,weekly,511010,0.005348900883986651,0.005348900883986651,False,1.0001407563048579
2015-02-12,mom_1m,21,weekly,511010,0.0027818035035160893,0.0027818035035160893,False,1.002922951364756
2015-02-13,mom_1m,21,weekly,511010,0.0018332250210966183,0.0018332250210966183,False,1.00476153481343
2015-02-16,mom_1m,21,weekly,159928,0.01016949152542379,0.00996949152542379,True,1.0147784964198243
2015-02-17,mom_1m,21,weekly,159928,0.0,0.0,False,1.0147784964198243
2015-02-25,mom_1m,21,weekly,159928,-0.003355704697986628,-0.003355704697986628,False,1.0113731994519726
2015-02-26,mom_1m,21,weekly,159928,0.010101010101010166,0.010101010101010166,False,1.0215890903555278
2015-02-27,mom_1m,21,weekly,159928,0.0033333333333334103,0.0033333333333334103,False,1.0249943873233796
2015-03-02,mom_1m,21,weekly,159928,0.0033222591362125353,0.0033222591362125353,False,1.0283996842912313
2015-03-03,mom_1m,21,weekly,159928,-0.009933774834437137,-0.009933774834437137,False,1.018183793387676
2015-03-04,mom_1m,21,weekly,159928,0.01672240802675584,0.01672240802675584,False,1.0352102782269348
2015-03-05,mom_1m,21,weekly,159928,0.006578947368421018,0.006578947368421018,False,1.0420208721626383
2015-03-06,mom_1m,21,weekly,159928,-0.0032679738562091387,-0.0032679738562091387,False,1.0386155751947865
2015-03-09,mom_1m,21,weekly,159928,0.022950819672131084,0.022950819672131084,False,1.0624526539697488
2015-03-10,mom_1m,21,weekly,159928,0.0032051282051281937,0.0032051282051281937,False,1.0658579509376005
2015-03-11,mom_1m,21,weekly,159928,-0.0031948881789137795,-0.0031948881789137795,False,1.0624526539697488
2015-03-12,mom_1m,21,weekly,159928,0.0,0.0,False,1.0624526539697488
2015-03-13,mom_1m,21,weekly,159928,0.012820512820512775,0.012820512820512775,False,1.0760738418411557
2015-03-16,mom_1m,21,weekly,159928,0.022151898734177333,0.022151898734177333,False,1.0999109206161182
2015-03-17,mom_1m,21,weekly,159928,0.01238390092879249,0.01238390092879249,False,1.1135321084875252
2015-03-18,mom_1m,21,weekly,159928,0.01834862385321112,0.01834862385321112,False,1.1339638902946358
2015-03-19,mom_1m,21,weekly,159928,-0.009009009009009028,-0.009009009009009028,False,1.1237479993910806
2015-03-20,mom_1m,21,weekly,159928,0.0060606060606061,0.0060606060606061,False,1.130558593326784
2015-03-23,mom_1m,21,weekly,512010,-0.042622950819672156,-0.042822950819672155,True,1.0821447382859934
2015-03-24,mom_1m,21,weekly,512010,0.013698630136986356,0.013698630136986356,False,1.0969686388104591
2015-03-25,mom_1m,21,weekly,512010,0.006756756756756799,0.006756756756756799,False,1.104380589072692
2015-03-26,mom_1m,21,weekly,512010,-0.01342281879194629,-0.01342281879194629,False,1.0895566885482264
2015-03-27,mom_1m,21,weekly,512010,0.00340136054421758,0.00340136054421758,False,1.0932626636793428
2015-03-30,mom_1m,21,weekly,159928,0.0057636887608070175,0.005563688760807018,True,1.0993452368738654
2015-03-31,mom_1m,21,weekly,159928,-0.008595988538681931,-0.008595988538681931,False,1.0898952778176432
2015-04-01,mom_1m,21,weekly,159928,0.014450867052023142,0.014450867052023142,False,1.1056452095780138
2015-04-02,mom_1m,21,weekly,159928,0.008547008547008517,0.008547008547008517,False,1.115095168634236
2015-04-03,mom_1m,21,weekly,159928,0.01412429378531077,0.01412429378531077,False,1.1308451003946067
2015-04-07,mom_1m,21,weekly,159928,0.025069637883008422,0.025069637883008422,False,1.1591949775632737
2015-04-08,mom_1m,21,weekly,159928,0.0,0.0,False,1.1591949775632737
2015-04-09,mom_1m,21,weekly,159928,-0.010869565217391353,-0.010869565217391353,False,1.1465950321549772
2015-04-10,mom_1m,21,weekly,159928,0.030219780219780334,0.030219780219780334,False,1.1812448820277925
2015-04-13,mom_1m,21,weekly,159928,0.01866666666666661,0.01866666666666661,False,1.2032947864923114
2015-04-14,mom_1m,21,weekly,159928,0.0,0.0,False,1.2032947864923114
2015-04-15,mom_1m,21,weekly,159928,-0.028795811518324665,-0.028795811518324665,False,1.168644936619496
2015-04-16,mom_1m,21,weekly,159928,0.03504043126684642,0.03504043126684642,False,1.2095947591964595
2015-04-17,mom_1m,21,weekly,159928,0.0026041666666667407,0.0026041666666667407,False,1.2127447455485338
2015-04-20,mom_1m,21,weekly,159928,-0.007792207792207795,-0.007792207792207795,False,1.2032947864923116
2015-04-21,mom_1m,21,weekly,159928,0.04973821989528804,0.04973821989528804,False,1.2631445271817199
2015-04-22,mom_1m,21,weekly,159928,0.009975062344139696,0.009975062344139696,False,1.2757444725900164
2015-04-23,mom_1m,21,weekly,159928,0.0,0.0,False,1.2757444725900164
2015-04-24,mom_1m,21,weekly,159928,-0.0024691358024691024,-0.0024691358024691024,False,1.2725944862379424
2015-04-27,mom_1m,21,weekly,159928,0.004950495049504955,0.004950495049504955,False,1.2788944589420905
2015-04-28,mom_1m,21,weekly,159928,-0.034482758620689724,-0.034482758620689724,False,1.2347946500130529
2015-04-29,mom_1m,21,weekly,159928,0.015306122448979664,0.015306122448979664,False,1.2536945681254976
2015-04-30,mom_1m,21,weekly,159928,0.01005025125628145,0.01005025125628145,False,1.2662945135337942
2015-05-04,mom_1m,21,weekly,159928,-0.00497512437810943,-0.00497512437810943,False,1.259994540829646
