date,strategy_key,strategy_name,window_label,lookback_days,top_n,portfolio_value,nav,daily_return
2015-01-05,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-06,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-07,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-08,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-09,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-12,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-13,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-14,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-15,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-16,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-19,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-20,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-21,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-22,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-23,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-26,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-27,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-28,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-29,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-01-30,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-02,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-03,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-04,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-05,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-06,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-09,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-10,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-11,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-12,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-13,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-16,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-17,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
2015-02-25,top1_1m,Top1 1m,1m,21,1,100000.0,1.0,0.0
