strategy,top_n,scenario,commission_rate,slippage_rate,one_way_cost,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,final_value,order_count,trade_date_count,target_trade_day_count,target_total_one_way_turnover,target_annual_one_way_turnover,target_total_two_way_traded,target_annual_two_way_traded,total_fees,total_order_value,annual_traded_value_ratio,cash_target_days,single_asset_target_days,multi_asset_target_days,risk_on_signals,defensive_signals,cash_signals,cost_drag_vs_no_cost,annualized_drag_vs_no_cost
Top1,1,no_cost,0.0,0.0,0.0,15.597486665363785,0.28965797441915164,0.3770692900782043,-0.47176803013251645,0.8636293495398046,1659748.6665363787,159,119,80,80.0,7.243981315127559,159.0,14.397412863816024,0.0,96735356.72921774,87.59363958233153,57,2726,0,130,6,2,0.0,0.0
Top1,1,base_0_02pct,0.0001,0.0001,0.0002,15.07799051698543,0.28594976932888483,0.37705559765561797,-0.4728234383157832,0.8560032085789258,1607799.051698543,159,119,80,80.0,7.243981315127559,159.0,14.397412863816024,9460.04811894583,94600481.18946871,85.66051476732345,57,2726,0,130,6,2,-0.5194961483783551,-0.003708205090266814
Top1,1,mid_0_05pct,0.0003,0.0002,0.0005,14.329074838806577,0.2804074484693977,0.3770392340413971,-0.47440259813464014,0.8445579322498001,1532907.4838806577,159,119,80,80.0,7.243981315127559,159.0,14.397412863816024,27448.464148121915,91494880.49374586,82.8484005908155,57,2726,0,130,6,2,-1.2684118265572089,-0.009250525949753952
Top1,1,high_0_10pct,0.0005,0.0005,0.001,13.157599045405783,0.27122328788935257,0.37702307804965834,-0.47702402648751496,0.8254674495259211,1415759.9045405784,159,119,80,80.0,7.243981315127559,159.0,14.397412863816024,43282.971267320274,86565942.53464547,78.38525878092223,57,2726,0,130,6,2,-2.439887619958002,-0.01843468652979907
Top1,1,severe_0_20pct,0.001,0.001,0.002,11.076388374684619,0.2530521589893131,0.37703233146143894,-0.48222772738949515,0.7872379554021914,1207638.8374684618,159,119,80,80.0,7.243981315127559,159.0,14.397412863816024,77565.99113698765,77565991.13699207,70.23582381071506,57,2726,0,130,6,2,-4.521098290679166,-0.03660581542983854
Top2,2,no_cost,0.0,0.0,0.0,7.308139994830901,0.21132548626832803,0.30359087252497874,-0.45589254152137215,0.7837086281688626,830813.99948309,4139,2340,97,65.5,5.931009701760689,130.0,11.771469637082285,0.0,53163154.54252879,48.13911226991468,57,402,2324,130,6,2,0.0,0.0
Top2,2,base_0_02pct,0.0001,0.0001,0.0002,7.069698924361342,0.2081357050431778,0.3035751051174634,-0.4605813684692449,0.775043337605207,806969.8924361342,4155,2345,97,65.5,5.931009701760689,130.0,11.771469637082285,5215.79619993469,52157961.99934745,47.22891276980077,57,402,2324,130,6,2,-0.23844107046955898,-0.0031897812251502344
Top2,2,mid_0_05pct,0.0003,0.0002,0.0005,6.724920406461461,0.20336837960023968,0.3035543269580025,-0.46754044366532066,0.762043922073953,772492.040646146,4155,2345,97,65.5,5.931009701760689,130.0,11.771469637082285,15207.351212589669,50691170.708632775,45.900736681909656,57,402,2324,130,6,2,-0.58321958836944,-0.007957106668088354
Top2,2,high_0_10pct,0.0005,0.0005,0.001,6.182698704168597,0.19546439712040242,0.30352781418531277,-0.47894084034444884,0.7403624494149766,718269.8704168596,4155,2345,97,65.5,5.931009701760689,130.0,11.771469637082285,24174.959374524005,48349918.74904966,43.78073850075643,57,402,2324,130,6,2,-1.1254412906623044,-0.01586108914792561
Top2,2,severe_0_20pct,0.001,0.001,0.002,5.209665286371814,0.17981018093407752,0.3035049919170117,-0.5010147125012712,0.696946024030807,620966.5286371814,4155,2345,97,65.5,5.931009701760689,130.0,11.771469637082285,44028.83458359467,44028834.583596334,39.868006881301746,57,402,2324,130,6,2,-2.0984747084590873,-0.03151530533425051
Top3,3,no_cost,0.0,0.0,0.0,2.8848466045024215,0.13075278673335067,0.28398861617364407,-0.49321883242861453,0.575250695335346,388484.66045024217,5671,2341,108,68.0,6.157384117858426,135.0,12.224218469277757,0.0,34410784.176153675,31.15888470136804,57,402,2324,130,6,2,0.0,0.0
Top3,3,base_0_02pct,0.0001,0.0001,0.0002,2.7686481059547874,0.127647782919744,0.2839686883264098,-0.49786239701410173,0.5655860090369501,376864.81059547875,5686,2346,108,68.0,6.157384117858426,135.0,12.224218469277757,3378.6973059602974,33786973.059604526,30.594025192311676,57,402,2324,130,6,2,-0.11619849854763409,-0.003105003813606677
Top3,3,mid_0_05pct,0.0003,0.0002,0.0005,2.6008436327487336,0.12300651559818698,0.2839419881285003,-0.5047502728902068,0.5510844291685733,360084.36327487335,5685,2346,108,68.0,6.157384117858426,135.0,12.224218469277757,9862.87508206702,32876250.273557723,29.769367836638686,57,402,2324,130,6,2,-0.2840029717536878,-0.007746271135163685
Top3,3,high_0_10pct,0.0005,0.0005,0.001,2.337626115780048,0.11531401642223593,0.2839061129163332,-0.5160216705587489,0.5269038687214351,333762.6115780048,5685,2346,108,68.0,6.157384117858426,135.0,12.224218469277757,15711.320194694035,31422640.389389046,28.453127481588353,57,402,2324,130,6,2,-0.5472204887223735,-0.015438770311114736
Top3,3,severe_0_20pct,0.001,0.001,0.002,1.8674689263889066,0.10008540348979067,0.28386636292695544,-0.5378068753744396,0.47850009515422987,286746.89263889065,5689,2346,108,68.0,6.157384117858426,135.0,12.224218469277757,28740.446972143,28740446.972143926,26.024407606828134,57,402,2324,130,6,2,-1.0173776781135149,-0.030667383243559998
