signal_date,chosen_symbol,chosen_name,chosen_bucket,chosen_theme,selected_momentum,best_sector_symbol,best_sector_momentum,best_defensive_symbol,best_defensive_momentum,reason
2015-01-30,CASH,空仓,cash,现金,0.0,,,,,行业和防守资产均无正动量，空仓
2015-02-27,CASH,空仓,cash,现金,0.0,,,,,行业和防守资产均无正动量，空仓
2015-03-31,159928,消费ETF汇添富,sector,消费,0.1808873720136519,159928,0.1808873720136519,511010,-0.0063420802415282695,Top1 行业/主题 ETF 动量为正，持有该 ETF
2015-04-30,159928,消费ETF汇添富,sector,消费,0.3311258278145697,159928,0.3311258278145697,511010,0.008011213752421531,Top1 行业/主题 ETF 动量为正，持有该 ETF
2015-05-29,512010,医药ETF易方达,sector,医药,0.2549668874172186,512010,0.2549668874172186,511010,0.0056142344849210435,Top1 行业/主题 ETF 动量为正，持有该 ETF
2015-06-30,159928,消费ETF汇添富,sector,消费,0.027638190954773822,159928,0.027638190954773822,511010,-0.011709194279802326,Top1 行业/主题 ETF 动量为正，持有该 ETF
2015-07-31,511010,国债ETF国泰,defensive,国债,0.021604395174692703,512010,-0.20493827160493827,511010,0.021604395174692703,Top1 行业/主题 ETF 动量为负或不可用，切到正动量防守资产
2015-08-31,511010,国债ETF国泰,defensive,国债,0.028811418837557667,159928,-0.12299465240641705,511010,0.028811418837557667,Top1 行业/主题 ETF 动量为负或不可用，切到正动量防守资产
2015-09-30,511010,国债ETF国泰,defensive,国债,0.00406348599292472,512010,-0.15527950310559002,511010,0.00406348599292472,Top1 行业/主题 ETF 动量为负或不可用，切到正动量防守资产
2015-10-30,512010,医药ETF易方达,sector,医药,0.08510638297872353,512010,0.08510638297872353,511010,0.018444058460564072,Top1 行业/主题 ETF 动量为正，持有该 ETF
2015-11-30,512010,医药ETF易方达,sector,医药,0.07829181494661919,512010,0.07829181494661919,511010,0.012070069476963763,Top1 行业/主题 ETF 动量为正，持有该 ETF
2015-12-31,512010,医药ETF易方达,sector,医药,0.09933774834437092,512010,0.09933774834437092,511010,0.010103961469221545,Top1 行业/主题 ETF 动量为正，持有该 ETF
2016-01-29,511010,国债ETF国泰,defensive,国债,0.01298259216883979,512010,-0.10610932475884238,511010,0.01298259216883979,Top1 行业/主题 ETF 动量为负或不可用，切到正动量防守资产
2016-02-29,511010,国债ETF国泰,defensive,国债,0.008162883220220074,159928,-0.20435967302452318,511010,0.008162883220220074,Top1 行业/主题 ETF 动量为负或不可用，切到正动量防守资产
2016-03-31,159928,消费ETF汇添富,sector,消费,0.03833865814696491,159928,0.03833865814696491,511010,0.013059840524629163,Top1 行业/主题 ETF 动量为正，持有该 ETF
