signal_date,top_n,selected_symbols,selected_names,selected_bucket,selected_themes,selected_count,target_weight_each,selected_momentums,top_sector_symbols,top_sector_momentums,best_sector_symbol,best_sector_momentum,best_defensive_symbol,best_defensive_momentum,reason
2015-01-30,2,CASH,空仓,cash,现金,0,0.0,,,,,,,,行业和防守资产均无正动量，空仓
2015-02-27,2,CASH,空仓,cash,现金,0,0.0,,,,,,,,行业和防守资产均无正动量，空仓
2015-03-31,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.18088737|0.12830189,159928|512010,0.18088737|0.12830189,159928,0.1808873720136519,511010,-0.0063420802415282695,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2015-04-30,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.33112583|0.24626866,159928|512010,0.33112583|0.24626866,159928,0.3311258278145697,511010,0.008011213752421531,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2015-05-29,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.25496689|0.23782235,512010|159928,0.25496689|0.23782235,512010,0.2549668874172186,511010,0.0056142344849210435,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2015-06-30,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.02763819|0.02388060,159928|512010,0.02763819|0.02388060,159928,0.027638190954773822,511010,-0.011709194279802326,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2015-07-31,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.02160440,512010|159928,-0.20493827|-0.22961373,512010,-0.20493827160493827,511010,0.021604395174692703,Top2 行业/主题 ETF 无正动量，切到正动量防守资产
2015-08-31,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.02881142,159928|512010,-0.12299465|-0.16417910,159928,-0.12299465240641705,511010,0.028811418837557667,Top2 行业/主题 ETF 无正动量，切到正动量防守资产
2015-09-30,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.00406349,512010|159928,-0.15527950|-0.15760870,512010,-0.15527950310559002,511010,0.00406348599292472,Top2 行业/主题 ETF 无正动量，切到正动量防守资产
2015-10-30,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.08510638|0.05974843,512010|159928,0.08510638|0.05974843,512010,0.08510638297872353,511010,0.018444058460564072,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2015-11-30,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.07829181|0.07324841,512010|159928,0.07829181|0.07324841,512010,0.07829181494661919,511010,0.012070069476963763,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2015-12-31,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.09933775|0.09036145,512010|159928,0.09933775|0.09036145,512010,0.09933774834437092,511010,0.010103961469221545,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2016-01-29,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.01298259,512010|159928,-0.10610932|-0.11730205,512010,-0.10610932475884238,511010,0.01298259216883979,Top2 行业/主题 ETF 无正动量，切到正动量防守资产
2016-02-29,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.00816288,159928|512010,-0.20435967|-0.22023810,159928,-0.20435967302452318,511010,0.008162883220220074,Top2 行业/主题 ETF 无正动量，切到正动量防守资产
2016-03-31,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.03833866|0.01798561,159928|512010,0.03833866|0.01798561,159928,0.03833865814696491,511010,0.013059840524629163,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2016-04-29,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.08474576|0.05263158,159928|512010,0.08474576|0.05263158,159928,0.0847457627118644,511010,0.0014742151426929695,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2016-05-31,2,159928,消费ETF汇添富,sector,消费,1,1.0,0.01538462,159928|512010,0.01538462|-0.00701754,159928,0.01538461538461533,511010,-0.005230548610089758,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2016-06-30,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.07547170|0.04642857,159928|512010,0.07547170|0.04642857,159928,0.07547169811320753,511010,0.008474733254297595,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2016-07-29,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.14769231|0.14079422,159928|512010,0.14769231|0.14079422,159928,0.14769230769230757,511010,0.014485519102951594,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2016-08-31,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.10238908|0.04913295,512010|159928,0.10238908|0.04913295,512010,0.1023890784982937,511010,0.008674226464176371,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2016-09-30,2,512010,医药ETF易方达,sector,医药,1,1.0,0.03548387,512010|159928,0.03548387|-0.04324324,512010,0.03548387096774186,511010,0.004619315650205014,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
