label,start,end,days,start_close,end_close,segment_return,mean_daily_ret_pct,ann_vol_pct
sideways,2016-05-16,2018-02-05,425,3095.309,4274.146,0.3808463064592258,0.07748248318288607,11.252892407142559
bear,2018-02-06,2018-02-09,4,4148.886,3840.653,-0.07429295478352516,-2.673547803129962,19.42114920769301
sideways,2018-02-12,2018-09-28,154,3890.105,3438.865,-0.11599686897911499,-0.0717538500933116,19.515099936551884
bear,2018-10-08,2018-10-18,9,3290.899,3044.392,-0.07490567167208717,-1.35378072722213,32.61051332730399
bull,2018-10-19,2018-11-02,11,3134.946,3290.246,0.04953833335566227,0.7060102216946046,35.228915109587994
sideways,2018-11-05,2019-01-31,62,3262.835,3201.633,-0.018757307678751833,-0.0440344223837523,17.248653399083032
bull,2019-02-01,2019-04-01,37,3247.397,3973.928,0.22372718826801896,0.5840379298904934,28.59739187489064
sideways,2019-04-02,2019-04-30,20,3971.285,3913.211,-0.014623478294808923,-0.07698380802081814,19.169339196503735
bear,2019-05-06,2019-05-13,6,3684.617,3668.726,-0.004312795603993558,-1.0752300293438992,46.42108550552341
sideways,2019-05-14,2020-01-22,174,3645.15,4131.931,0.13354210389147214,0.06833355709632241,14.726324722376937
bear,2020-01-23,2020-02-04,3,4003.901,3785.638,-0.05451258659991842,-2.917680646412967,70.11780319479877
sideways,2020-02-05,2020-02-27,17,3828.527,4084.876,0.06695760536624151,0.44751141237441816,15.428760940938492
bear,2020-02-28,2020-03-25,19,3940.049,3722.518,-0.05521022708093226,-0.488900272998465,37.39113070333237
sideways,2020-03-26,2020-06-29,62,3698.047,4109.716,0.11132065114369838,0.15960258925738371,13.864126389814054
bull,2020-06-30,2020-07-13,10,4163.964,4852.961,0.1654666082607823,1.6623510776060706,26.956145132735166
bear,2020-07-14,2020-07-24,9,4806.69,4505.591,-0.06264165153151113,-0.8252218233247678,37.51984559305911
sideways,2020-07-27,2021-02-19,138,4528.45,5778.842,0.27611920193443673,0.18035090330887574,17.7439684086041
bear,2021-02-22,2021-03-09,12,5597.333,4970.999,-0.1118986488743835,-1.254854088715263,28.817126119378816
sideways,2021-03-10,2021-07-23,93,5003.612,5089.228,0.017110839129812705,0.02527454104577844,16.971994037022856
bear,2021-07-26,2021-07-27,2,4925.299,4751.313,-0.03532496199723101,-3.4352574108200358,2.558031581405785
sideways,2021-07-28,2022-03-04,145,4760.483,4496.43,-0.055467690988498464,-0.038025691251312776,14.975937173068022
bear,2022-03-07,2022-03-16,8,4352.778,4156.081,-0.04518884261958689,-0.9838898205791593,43.39827983040394
sideways,2022-03-17,2022-04-22,25,4237.696,4013.25,-0.052964157882018914,-0.1398847042551908,20.94989949565236
bear,2022-04-25,2022-04-27,3,3814.913,3895.536,0.021133640531251885,-0.9923368232963553,51.69277577527182
sideways,2022-04-28,2024-09-23,585,3921.107,3212.764,-0.1806487300652596,-0.03294011219578468,14.886684475750663
bull,2024-09-24,2024-10-08,6,3351.909,4256.096,0.26975284830226576,4.687011372379538,31.77555631817275
bear,2024-10-09,2024-10-18,8,3955.984,3925.234,-0.007773034471322382,-1.0115792610529357,50.01803469879087
sideways,2024-10-21,2025-04-03,112,3935.197,3861.503,-0.018726889657620704,-0.014615608361291416,15.825004615255772
bear,2025-04-07,2025-04-07,1,3589.441,3589.441,0.0,-7.306000585737571,0.0
sideways,2025-04-08,2026-07-06,302,3650.759,4841.998,0.32629899700308873,0.09911621370650647,15.279875797489222
