label,start,end,days,start_close,end_close,segment_return,mean_daily_ret_pct,ann_vol_pct
sideways,2016-05-16,2016-05-30,11,3095.309,3066.71,-0.00923946526824948,-0.02434942819863634,6.601664928776228
bear,2016-05-31,2016-06-13,8,3169.56,3066.341,-0.0325657189010462,-0.0015041453285071782,26.08682670374484
sideways,2016-06-14,2018-02-05,406,3075.983,4274.146,0.3895219837040711,0.08179786262448188,10.856193311317867
bear,2018-02-06,2018-02-09,4,4148.886,3840.653,-0.07429295478352516,-2.673547803129962,19.42114920769301
bull,2018-02-12,2018-05-08,53,3890.105,3878.677,-0.0029377099075731383,0.01858813562509342,17.290501772524173
sideways,2018-05-09,2018-05-29,15,3871.615,3804.009,-0.017461963547511727,-0.1295907033073776,10.9034666371206
bear,2018-05-30,2018-10-29,102,3723.372,3076.889,-0.17362836697488182,-0.20797695001948222,25.204318099268093
bull,2018-10-30,2019-02-22,77,3110.261,3520.118,0.13177575772579853,0.17477336387575756,19.423291744648626
bear,2019-02-25,2019-05-23,60,3729.483,3583.965,-0.039018276796006335,0.029958696107659978,29.697443739855572
bull,2019-05-24,2019-07-01,26,3593.914,3935.812,0.09513249343195174,0.3601826322369899,18.199568206946044
sideways,2019-07-02,2020-01-20,138,3937.169,4185.83,0.06315730922396279,0.04462883899649947,12.915514876128173
bear,2020-01-21,2020-03-25,41,4114.309,3722.518,-0.09522644021146687,-0.28610900149368007,36.20638858309052
sideways,2020-03-26,2020-06-29,62,3698.047,4109.716,0.11132065114369838,0.15960258925738371,13.864126389814054
bear,2020-06-30,2020-07-24,19,4163.964,4505.591,0.08204369682350765,0.48402707190198957,37.92133646336035
bull,2020-07-27,2021-02-19,138,4528.45,5778.842,0.27611920193443673,0.18035090330887574,17.7439684086041
bear,2021-02-22,2021-03-24,23,5597.333,4928.685,-0.11945832059661254,-0.6918743408557166,28.069175947034523
bull,2021-03-25,2021-05-25,40,4926.347,5318.478,0.07959873715757348,0.1902873850040227,17.440839829345613
sideways,2021-05-26,2021-07-22,41,5320.593,5151.752,-0.03173349286442306,-0.0776837102411936,13.672377486609381
bear,2021-07-23,2021-08-26,25,5089.228,4801.609,-0.05651525142909686,-0.28154312368026735,23.879462226530055
sideways,2021-08-27,2022-01-24,99,4827.043,4786.738,-0.008349832392211876,-0.0031332249793190954,12.982293312729672
bear,2022-01-25,2022-05-09,65,4678.451,3877.436,-0.17121372009667302,-0.324115487532133,26.60303265611873
bull,2022-05-10,2022-06-30,37,3919.868,4485.011,0.14417398749141563,0.3934238856097069,16.609100335536226
sideways,2022-07-01,2022-09-26,61,4466.718,3836.677,-0.1410523341746669,-0.255957902877666,13.75347411531704
bear,2022-09-27,2022-11-01,21,3892.295,3634.173,-0.0663161451020543,-0.25821453613097123,24.469334079422964
bull,2022-11-02,2022-12-05,24,3677.805,3946.876,0.07316075757143192,0.3439283547373934,20.69762318384946
sideways,2022-12-06,2024-01-16,272,3968.198,3300.876,-0.1681675158346433,-0.06571194563625954,13.232024612179675
bull,2024-01-17,2024-02-29,26,3229.082,3516.083,0.08888005941007382,0.24292191586198236,20.943414573002215
sideways,2024-03-01,2024-09-23,139,3537.804,3212.764,-0.09187620343015046,-0.06490356840433399,11.520531277736476
bear,2024-09-24,2024-11-22,39,3351.909,3865.699,0.15328280093522828,0.4743869068473038,42.228248391349474
sideways,2024-11-25,2025-04-03,87,3848.091,3861.503,0.0034853645612851203,-0.0012483144558131688,14.24255410059411
bear,2025-04-07,2025-04-10,4,3589.441,3735.115,0.040584035229998205,-0.8319469497573495,59.470413671831565
sideways,2025-04-11,2025-08-19,89,3750.517,4223.374,0.12607781807148188,0.13804014238967727,8.450336555637275
bull,2025-08-20,2025-10-29,45,4271.396,4747.838,0.11154245590902834,0.26012227082766304,18.1861703898963
sideways,2025-10-30,2026-03-20,94,4709.911,4567.018,-0.030338789841251823,-0.04130732023698896,13.27560038984937
bull,2026-03-23,2026-06-22,61,4417.997,5059.658,0.1452379890706128,0.16793183044112417,19.120709541006097
bear,2026-06-23,2026-07-06,10,4919.386,4841.998,-0.015731231499215736,-0.4397144661900943,27.569600197495603
