label,start,end,days,start_close,end_close,segment_return,mean_daily_ret,ann_vol
sideways,2016-05-16,2018-02-08,428,3095.309,4012.047,0.29617010773399355,0.06215369674364945,11.636369326120938
bear,2018-02-09,2018-02-13,3,3840.653,3935.632,0.024729909210751577,-0.6410035334158054,41.818801182365675
bull,2018-02-14,2018-02-28,6,3966.961,4023.642,0.014288267517628794,0.368599729214955,19.233271066324313
sideways,2018-03-01,2018-09-28,146,4049.086,3438.865,-0.15070586300216893,-0.1075657449005995,19.452217616991692
bear,2018-10-08,2018-10-09,2,3290.899,3288.691,-0.0006709412838254991,-2.2325930908698077,34.375872849582755
sideways,2018-10-10,2018-10-10,1,3281.598,3281.598,0.0,-0.21591143876615448,0.0
bear,2018-10-11,2018-10-16,4,3124.114,3100.974,-0.00740690000428923,-1.4153560796490403,36.38498855755764
bull,2018-10-17,2018-10-17,1,3118.246,3118.246,0.0,0.5554408561042565,0.0
bear,2018-10-18,2018-10-24,5,3044.392,3188.202,0.047237675043161564,0.4437291455671251,44.038148304384464
bull,2018-10-25,2018-10-26,2,3194.308,3173.635,-0.006471824257397785,-0.2289751444129331,6.672223711931493
bear,2018-10-29,2018-10-30,2,3076.889,3110.261,0.010846020119672728,-1.0085486571385136,33.135035650620964
bull,2018-10-31,2018-11-13,10,3153.823,3237.382,0.026494511581658164,0.4005833298556709,21.954335588155224
sideways,2018-11-14,2019-02-22,66,3204.943,3520.118,0.09834028249488358,0.12686292922793416,19.012282248640602
bear,2019-02-25,2019-02-27,3,3729.483,3678.392,-0.013699217827243149,1.4660396130125504,48.86056847340391
bull,2019-02-28,2019-03-07,6,3669.37,3808.85,0.038011974807664606,0.5808601023408371,16.13052434113009
bear,2019-03-08,2019-03-11,2,3657.579,3729.955,0.01978795263205524,-1.046556853322256,47.71922249986494
bull,2019-03-12,2019-03-25,10,3755.352,3742.825,-0.0033357725187944665,0.034445046488174216,20.743226672120823
sideways,2019-03-26,2019-03-28,3,3700.439,3728.395,0.007554779311319537,-0.12876092474879386,15.171282857873022
bull,2019-03-29,2019-04-12,10,3872.341,3988.617,0.030027314226717117,0.6746670812888113,24.701423452750397
sideways,2019-04-15,2019-04-15,1,3975.524,3975.524,0.0,-0.3287990957361,0.0
bull,2019-04-16,2019-04-22,5,4085.789,4025.611,-0.014728611780980505,0.25040274548921343,26.70935008278073
sideways,2019-04-23,2019-04-30,6,4019.005,3913.211,-0.02632343079941435,-0.4719739332710491,15.419572737994054
bear,2019-05-06,2019-05-14,7,3684.617,3645.15,-0.010711289667284296,-1.0137249674084627,43.04406546307669
bull,2019-05-15,2019-05-16,2,3727.092,3743.964,0.004526853643537665,1.3373713153618643,14.060170508757636
bear,2019-05-17,2019-05-20,2,3648.761,3617.792,-0.008487538646680393,-1.7140524095088994,13.678684308227039
bull,2019-05-21,2019-05-28,6,3666.776,3672.261,0.0014958644869498272,0.24906089448900923,17.587527784098494
sideways,2019-05-29,2020-01-23,164,3663.909,4003.901,0.09279488109557299,0.05272048000543344,14.632639717794941
bear,2020-02-03,2020-02-05,3,3688.358,3828.527,0.0380030897217678,-1.4929667318673687,75.98984060469299
bull,2020-02-06,2020-02-24,13,3899.775,4132.839,0.059763447891224564,0.5883418930759272,15.266657037421371
sideways,2020-02-25,2020-02-27,3,4123.854,4084.876,-0.009451838013663894,-0.3891069040779553,10.10856679632458
bear,2020-02-28,2020-03-02,2,3940.049,4069.666,0.03289730660710055,-0.18652203445348836,54.34319129985801
bull,2020-03-03,2020-03-06,4,4091.362,4138.507,0.011523057602822684,0.4193540642740507,21.650139704543083
bear,2020-03-09,2020-03-26,14,3997.133,3698.047,-0.07482513091258158,-0.803787516564771,35.41839025550373
bull,2020-03-27,2020-04-09,9,3710.061,3792.811,0.022304215483249568,0.28113989307417064,15.757562945717803
sideways,2020-04-10,2020-07-03,56,3769.178,4419.596,0.17256229342312834,0.2731086720778709,14.733808050040919
bear,2020-07-06,2020-07-06,1,4670.095,4670.095,0.0,5.5131124889125775,0.0
bull,2020-07-07,2020-07-15,7,4698.126,4744.469,0.009864145831763427,0.22571577775251903,23.059765114900717
bear,2020-07-16,2020-07-20,3,4516.253,4680.305,0.036324802884160956,-0.4538746594266995,52.42792545918836
bull,2020-07-21,2020-07-23,3,4691.043,4712.436,0.004560393072500002,0.22805643446193666,3.501230590320248
bear,2020-07-24,2020-07-27,2,4505.591,4528.45,0.005073474267859535,-1.9912627095877076,39.64384450212433
bull,2020-07-28,2020-08-07,9,4568.258,4707.926,0.03057357968836283,0.43186393065858625,16.560649811266117
sideways,2020-08-10,2021-03-03,136,4724.87,5452.213,0.15393926182096007,0.10792213967309962,18.98416217550603
bear,2021-03-04,2021-03-04,1,5280.706,5280.706,0.0,-3.1961780402270765,0.0
sideways,2021-03-05,2021-03-05,1,5262.796,5262.796,0.0,-0.339735644313962,0.0
bear,2021-03-08,2021-03-11,4,5080.025,5128.216,0.00948637063794,-0.6476151010357661,37.22984402261028
bull,2021-03-12,2021-03-12,1,5146.379,5146.379,0.0,0.35355201678782633,0.0
bear,2021-03-15,2021-03-15,1,5035.544,5035.544,0.0,-2.177179655565425,0.0
bull,2021-03-16,2021-03-23,6,5079.362,5009.246,-0.013804095868733102,-0.08726932099501646,20.96175214772769
sideways,2021-03-24,2021-03-25,2,4928.685,4926.347,-0.0004743658805544948,-0.8343832500771954,12.492212313728157
bull,2021-03-26,2021-03-29,2,5037.99,5046.877,0.0017639971496570261,1.2085948190306863,16.388056222604817
sideways,2021-03-30,2021-07-26,80,5094.729,4925.299,-0.03325593961916329,-0.0304808158832533,16.59949299639773
bear,2021-07-27,2021-07-28,2,4751.313,4760.483,0.0019299928251412801,-1.7017924878680502,30.075934136913958
sideways,2021-07-29,2021-07-30,2,4850.275,4811.17,-0.008062429449876451,0.5295582049149903,21.257059215131093
bull,2021-08-02,2021-08-03,2,4933.736,4934.458,0.00014633940689168234,1.2651270655485678,19.85097994359148
sideways,2021-08-04,2022-03-14,146,4978.848,4174.758,-0.16150121473883117,-0.1145112647548372,15.794227271213696
bear,2022-03-15,2022-03-18,4,3983.812,4265.902,0.07080906428315403,0.5399313723720476,51.98484918857907
bull,2022-03-21,2022-03-25,5,4258.746,4174.574,-0.01976450344772862,-0.43282660554414115,12.322162819112108
sideways,2022-03-28,2022-03-29,2,4148.466,4134.144,-0.0034523604628795557,-0.48660117121500657,2.234619709219452
bull,2022-03-30,2022-04-01,3,4254.099,4276.158,0.005185351821854756,1.1258216385582596,23.40242161251304
sideways,2022-04-06,2022-04-11,4,4263.841,4100.07,-0.03840926526106403,-1.0512724041463557,21.653400975196384
bull,2022-04-12,2022-04-12,1,4179.973,4179.973,0.0,1.9300740450411054,0.0
sideways,2022-04-13,2022-04-22,8,4139.737,4013.25,-0.0305543564724039,-0.5087925038534153,15.231070844204627
bear,2022-04-25,2022-04-28,4,3814.913,3921.107,0.027836545682693226,-0.5806843745657547,46.17593909012676
bull,2022-04-29,2022-05-05,2,4016.241,4010.21,-0.0015016529137569234,1.1234798564907873,20.220281532788025
bear,2022-05-06,2022-05-06,1,3908.815,3908.815,0.0,-2.560935001571311,0.0
bull,2022-05-09,2022-05-18,8,3877.436,3991.907,0.029522344147008495,0.26293503219752784,14.206412992980049
sideways,2022-05-19,2022-05-19,1,3999.598,3999.598,0.0,0.1924794484765904,0.0
bull,2022-05-20,2022-05-20,1,4077.6,4077.6,0.0,1.931472397426772,0.0
sideways,2022-05-23,2022-11-03,112,4053.982,3647.897,-0.10016941367771248,-0.0994265561422661,17.634844739109433
bull,2022-11-04,2022-11-07,2,3767.175,3775.297,0.002155992222288461,1.716410896928257,23.828330917255293
sideways,2022-11-08,2022-11-10,3,3749.325,3685.689,-0.01697265507791401,-0.8007190906437699,1.6448455928894687
bull,2022-11-11,2022-11-11,1,3788.439,3788.439,0.0,2.7496578516676546,0.0
sideways,2022-11-14,2022-11-14,1,3794.017,3794.017,0.0,0.14712913615914433,0.0
bull,2022-11-15,2022-11-15,1,3865.973,3865.973,0.0,1.878804453712187,0.0
sideways,2022-11-16,2024-09-25,453,3834.39,3401.533,-0.11288809954125689,-0.028253241598421096,13.925531151433296
