label,start,end,days,start_close,end_close,segment_return,mean_daily_ret,ann_vol
sideways,2016-05-16,2018-02-05,425,3095.309,4274.146,0.3808463064592258,0.07748248318288607,11.252892407142559
bear,2018-02-06,2018-02-14,7,4148.886,3966.961,-0.04384911998064078,-1.0654857996244709,33.00048209543825
bull,2018-02-22,2018-02-22,1,4052.733,4052.733,0.0,2.139115797088733,0.0
sideways,2018-02-23,2018-06-15,77,4071.089,3753.434,-0.07802703404420774,-0.09963677150707509,15.942716570591827
bear,2018-06-19,2018-11-01,92,3621.117,3177.034,-0.12263702056575365,-0.1812207577581643,25.945259565163546
bull,2018-11-02,2018-11-02,1,3290.246,3290.246,0.0,3.501427686830103,0.0
sideways,2018-11-05,2019-02-12,65,3262.835,3330.335,0.02068753093552078,0.01863163925321121,17.50937051665871
bear,2019-02-13,2019-05-17,64,3397.028,3648.761,0.07410389316779264,0.14267930996822406,29.786804222936006
sideways,2019-05-20,2020-01-20,168,3617.792,4185.83,0.15701234344041892,0.081736520073852,14.1817350632291
bear,2020-01-21,2020-03-23,39,4114.309,3530.306,-0.14194437024540452,-0.43671912537473717,35.509799336130264
bull,2020-03-24,2020-03-25,2,3625.115,3722.518,0.026868940709467326,2.650788414186935,0.010199277863638423
sideways,2020-03-26,2020-06-30,63,3698.047,4163.964,0.1259900158110483,0.1778844192981463,13.942199285218734
bull,2020-07-01,2020-07-06,4,4247.784,4670.095,0.09941913242292943,2.8677977226027327,24.25730449110237
bear,2020-07-07,2020-07-28,16,4698.126,4568.258,-0.02764251107782134,-0.13779664667275515,33.117410038855695
bull,2020-07-29,2020-07-29,1,4679.008,4679.008,0.0,2.395417103098508,0.0
sideways,2020-07-30,2020-12-30,104,4656.151,5113.711,0.09827000885495352,0.08542234815917228,16.24102893797029
bear,2020-12-31,2021-03-25,55,5211.289,4926.347,-0.05467783498478018,-0.06786840721468695,25.614506994611123
bull,2021-03-26,2021-03-26,1,5037.99,5037.99,0.0,2.2409453246677558,0.0
sideways,2021-03-29,2021-07-22,79,5046.877,5151.752,0.020780177523644916,0.028265389852765433,15.49886543032491
bear,2021-07-23,2021-07-30,6,5089.228,4811.17,-0.05463657749269635,-1.1399425535902061,30.07257090295817
bull,2021-08-02,2021-08-02,1,4933.736,4933.736,0.0,2.5156212610646165,0.0
sideways,2021-08-03,2022-03-03,140,4934.458,4551.628,-0.07758298885105519,-0.05757967087714162,14.499248789553759
bear,2022-03-04,2022-05-06,41,4496.43,3908.815,-0.13068478770936054,-0.37134320038014695,30.85779590532029
sideways,2022-05-09,2022-09-30,103,3877.436,3804.885,-0.018711076082235767,-0.026163584021574298,15.7756043774437
bear,2022-10-10,2022-11-10,24,3720.937,3685.689,-0.009472882771194513,-0.13261785451261918,25.140061570893153
bull,2022-11-11,2022-11-11,1,3788.439,3788.439,0.0,2.7496578516676546,0.0
sideways,2022-11-14,2024-09-23,453,3794.017,3212.764,-0.15320252913995902,-0.036384643502677665,13.585365933397565
bull,2024-09-24,2024-10-08,6,3351.909,4256.096,0.26975284830226576,4.687011372379538,31.77555631817275
bear,2024-10-09,2024-10-17,7,3955.984,3788.222,-0.042407148259446914,-1.6636504063537867,44.74379992542349
bull,2024-10-18,2024-10-18,1,3925.234,3925.234,0.0,3.5529187560530215,0.0
sideways,2024-10-21,2025-04-03,112,3935.197,3861.503,-0.018726889657620704,-0.014615608361291416,15.825004615255772
bear,2025-04-07,2025-04-08,2,3589.441,3650.759,0.01708288282214432,-2.806069737238795,71.4341876526938
sideways,2025-04-09,2026-03-20,230,3686.794,4567.018,0.23875052416815268,0.09735886275259711,13.048620066734735
bear,2026-03-23,2026-04-07,11,4417.997,4440.616,0.005119740914264925,-0.2551579086700335,22.22690706041691
bull,2026-04-08,2026-04-08,1,4595.556,4595.556,0.0,3.429664401620499,0.0
sideways,2026-04-09,2026-06-04,38,4566.224,4904.745,0.07413587244077369,0.17135093242784996,13.775401763686066
bear,2026-06-05,2026-07-06,21,4816.92,4841.998,0.005206231367761882,-0.06131265921432369,26.4865025588044
